# call_index  iSCC  SCC_error(a.u.)
     211    12  7.694689600000e-06
     212    12  7.202880700000e-06
     213    12  6.476097900000e-06
     214    12  5.572292000000e-06
     215    12  5.416590200000e-06
     216    12  7.212597400000e-06
     217    12  7.269457300000e-06
     218    12  6.655485900000e-06
     219    12  5.959115500000e-06
     220    12  7.199129100000e-06
     221    12  5.744358900000e-06
     222    12  2.879453800000e-06
     223    12  2.773737900000e-06
     224    12  3.450718400000e-06
     225    11  9.545842900000e-06
     226    12  5.097372000000e-06
     227    12  7.005318300000e-06
     228    12  7.781431300000e-06
     229    12  6.268580100000e-06
     230    12  9.548487700000e-06
     231    12  9.657792700000e-06
     232    12  9.196209500000e-06
     233    12  7.918306900000e-06
     234    12  6.700397700000e-06
     235    12  5.558800300000e-06
     236    12  5.885540600000e-06
     237    12  7.507859800000e-06
     238    12  7.613016100000e-06
     239    12  7.653552900000e-06
     240    12  5.303559100000e-06
     241    12  6.082545400000e-06
     242    12  4.721420000000e-06
     243    12  3.553864700000e-06
     244    12  3.412798200000e-06
     245    12  3.756784800000e-06
     246    12  3.384124800000e-06
     247    11  9.699646600000e-06
     248    12  7.611498400000e-06
     249    12  7.999721900000e-06
     250    12  6.370682400000e-06
     251    12  9.246572900000e-06
     252    13  3.441917600000e-06
     253    12  8.468226600000e-06
     254    12  4.798474900000e-06
     255    12  5.847961100000e-06
     256    12  5.319721100000e-06
     257    12  5.139674500000e-06
     258    12  5.604125200000e-06
     259    12  6.368662100000e-06
     260    12  7.089184500000e-06
     261    12  4.619035400000e-06
     262    12  6.540080800000e-06
     263    12  6.057186400000e-06
     264    12  4.487339600000e-06
     265    12  4.414978100000e-06
     266    12  5.359538200000e-06
     267    12  4.855989500000e-06
     268    12  5.589091900000e-06
     269    12  7.323344000000e-06
     270    12  8.905859900000e-06
     271    12  8.068838400000e-06
     272    13  3.087704800000e-06
     273    12  9.808278600000e-06
     274    12  7.277374000000e-06
     275    12  9.802590800000e-06
     276    12  8.389526600000e-06
     277    12  7.033657800000e-06
     278    12  6.864569300000e-06
     279    12  7.881566300000e-06
     280    12  8.369297700000e-06
     281    12  7.528468000000e-06
     282    12  5.427338300000e-06
     283    12  6.838088300000e-06
     284    12  5.258774500000e-06
     285    12  3.786241900000e-06
     286    12  4.540487700000e-06
     287    12  6.319520500000e-06
     288    12  5.259590200000e-06
     289    12  4.161575200000e-06
     290    12  4.819842100000e-06
     291    12  6.062011400000e-06
     292    12  6.008559500000e-06
     293    12  6.640962300000e-06
     294    12  6.635178100000e-06
     295    12  6.189013500000e-06
     296    12  4.998343700000e-06
     297    12  6.137133200000e-06
     298    12  5.542325000000e-06
     299    12  5.694958500000e-06
     300    12  6.719422200000e-06
     301    12  8.004362800000e-06
     302    12  8.639987000000e-06
     303    12  5.608055200000e-06
     304    12  7.371702000000e-06
     305    12  7.551785900000e-06
     306    12  5.393362300000e-06
     307    12  4.670705300000e-06
     308    12  7.781625000000e-06
     309    12  7.318240200000e-06
     310    12  6.038841200000e-06
     311    12  5.683482100000e-06
     312    12  7.164647600000e-06
     313    12  7.659068100000e-06
     314    12  7.875001100000e-06
     315    12  8.274076800000e-06
     316    12  8.170820700000e-06
     317    12  7.028507300000e-06
     318    12  5.779048400000e-06
     319    12  4.551647100000e-06
     320    12  5.827717600000e-06
     321    12  7.293718400000e-06
     322    12  7.866550400000e-06
     323    12  7.923753200000e-06
     324    12  6.372574900000e-06
     325    12  8.262515800000e-06
     326    12  8.122796300000e-06
     327    12  7.348766200000e-06
     328    12  6.873317500000e-06
     329    12  5.778550700000e-06
     330    12  6.992405900000e-06
     331    12  6.593071400000e-06
     332    12  5.661795600000e-06
     333    12  8.416646600000e-06
     334    12  9.127469200000e-06
     335    12  6.862000700000e-06
     336    12  7.833932500000e-06
     337    12  6.795808300000e-06
     338    12  5.720294800000e-06
     339    12  4.975996100000e-06
     340    12  4.353698200000e-06
     341    12  5.851303900000e-06
     342    12  6.538156000000e-06
     343    12  6.788471100000e-06
     344    12  6.253995500000e-06
     345    12  5.952700900000e-06
     346    12  6.832772300000e-06
     347    12  7.648520600000e-06
     348    12  6.522531900000e-06
     349    12  5.276141700000e-06
     350    12  5.998349200000e-06
     351    12  6.583301500000e-06
     352    12  7.926729600000e-06
     353    13  2.235563500000e-06
     354    13  2.689515100000e-06
     355    13  2.568548700000e-06
     356    12  9.331591200000e-06
     357    13  3.648962200000e-06
