# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C C C C C C C C C C C C C C C C C C H H H H H H H H H H H H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
    85   +3.285035934984e-01  +1.3424249381e-02    +2946.2822     vibration
    86   +3.534029212880e-01  +1.3923711518e-02    +3055.9015     vibration
    87   +3.635944087833e-01  +1.4123051643e-02    +3099.6516     vibration
    88   +3.760526001959e-01  +1.4362969791e-02    +3152.3075     vibration
    89   +4.277106272359e-01  +1.5317749737e-02    +3361.8575     vibration
    90   +4.635898131695e-01  +1.5947289975e-02    +3500.0256     vibration
    91   +4.698619865376e-01  +1.6054807562e-02    +3523.6230     vibration
    92   +5.070390488055e-01  +1.6677872625e-02    +3660.3699     vibration
    93   +5.892465864090e-01  +1.7979122303e-02    +3945.9612     vibration
    94   +7.496974788965e-01  +2.0279767622e-02    +4450.8945     vibration
    95   +8.349310859271e-01  +2.1401551794e-02    +4697.0977     vibration
    96   +9.256185204056e-01  +2.2533879465e-02    +4945.6149     vibration
    97   +9.664053595558e-01  +2.3024998681e-02    +5053.4031     vibration
    98   +1.255548565589e+00  +2.6244403555e-02    +5759.9808     vibration
    99   +2.145294002585e+00  +3.4305468789e-02    +7529.1801     vibration
   100   +2.677432799120e+00  +3.8324741897e-02    +8411.3086     vibration
   101   +3.638916074858e+00  +4.4679259724e-02    +9805.9641     vibration
   102   +3.753461099041e+00  +4.5377013436e-02    +9959.1033     vibration
   103   +4.881134013967e+00  +5.1746420683e-02   +11357.0266     vibration
   104   +5.359126919980e+00  +5.4220930999e-02   +11900.1188     vibration
   105   +7.282247313672e+00  +6.3205178341e-02   +13871.9332     vibration
   106   +7.644768918846e+00  +6.4759297698e-02   +14213.0230     vibration
   107   +7.678297558973e+00  +6.4901153893e-02   +14244.1568     vibration
   108   +8.252088724972e+00  +6.7282464895e-02   +14766.7942     vibration
