# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -59.6565    -85.4759106466    -85.4679279835    0.217219
    1      4.00      -60.9556    -85.4646581327    -85.4574814321    0.195288
    2      8.00      -57.1339    -85.4744311275    -85.4672445445    0.195557
    3     12.00      -55.4640    -85.4699149727    -85.4609523371    0.243886
    4     16.00       50.6842    -85.4631490536    -85.4527461240    0.283078
    5     20.00       43.4665    -85.4752350879    -85.4661880053    0.246184
    6     24.00       46.3984    -85.4647059027    -85.4574846178    0.196501
    7     28.00       43.7814    -85.4672492283    -85.4613317422    0.161023
    8     32.00      -39.2569    -85.4768220929    -85.4706231551    0.168682
    9     36.00       36.7543    -85.4618792805    -85.4549839896    0.187630
   10     40.00       37.2974    -85.4636299875    -85.4569569235    0.181583
   11     44.00       41.3473    -85.4721780193    -85.4660437657    0.166922
   12     48.00      -43.2930    -85.4697683143    -85.4639255331    0.158990
   13     52.00      -38.9537    -85.4548044048    -85.4485754647    0.169498
   14     56.00       41.4307    -85.4441500453    -85.4373204398    0.185843
   15     60.00       37.7524    -85.4661605708    -85.4602276146    0.161444
   16     64.00      -40.9348    -85.4722368373    -85.4670470451    0.141221
   17     68.00      -47.8349    -85.4454493797    -85.4407455245    0.127998
   18     72.00      -44.0805    -85.4608763787    -85.4555996466    0.143587
   19     76.00       41.3905    -85.4788312241    -85.4709256821    0.215121
   20     80.00       36.3510    -85.4593967917    -85.4505820697    0.239861
   21     84.00      -35.4312    -85.4557765150    -85.4487837395    0.190283
   22     88.00      -41.8150    -85.4555626271    -85.4504230102    0.139856
   23     92.00       33.5322    -85.4628776677    -85.4586001406    0.116397
   24     96.00       26.1677    -85.4691111622    -85.4642249299    0.132961
   25    100.00      -23.9370    -85.4648246134    -85.4577783583    0.191738
   26    104.00      -21.4905    -85.4547801336    -85.4470736347    0.209705
   27    108.00       22.5177    -85.4631790829    -85.4567259682    0.175598
   28    112.00      -20.1449    -85.4922019494    -85.4875275737    0.127196
   29    116.00       23.1204    -85.4795798265    -85.4749022668    0.127283
   30    120.00       35.6298    -85.4441881416    -85.4375477295    0.180695
   31    124.00      -36.2088    -85.4624224031    -85.4545379656    0.214546
   32    128.00      -44.9419    -85.4655093298    -85.4572552964    0.224604
