# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -64.6543    -85.4814515175    -85.4670339186    0.392323
    1      4.00      -58.8986    -85.4728079001    -85.4605918484    0.332416
    2      8.00       58.7440    -85.4815116367    -85.4735192569    0.217484
    3     12.00       56.0935    -85.4646484354    -85.4583560612    0.171224
    4     16.00      -55.3345    -85.4739894902    -85.4643665977    0.261852
    5     20.00      -48.5438    -85.4798656191    -85.4663090005    0.368894
    6     24.00       42.3644    -85.4602053332    -85.4466010205    0.370192
    7     28.00      -48.2816    -85.4683375589    -85.4580986288    0.278615
    8     32.00      -53.7548    -85.4706367371    -85.4632566205    0.200823
    9     36.00      -55.6900    -85.4602154555    -85.4516207503    0.233874
   10     40.00       54.4078    -85.4605670852    -85.4503471706    0.278098
   11     44.00      -43.6759    -85.4605260476    -85.4509282794    0.261169
   12     48.00      -39.0535    -85.4625175087    -85.4562626949    0.170202
   13     52.00      -44.6942    -85.4505496869    -85.4465129599    0.109845
   14     56.00      -40.0248    -85.4642947109    -85.4578089281    0.176487
   15     60.00       33.4639    -85.4741244228    -85.4614850463    0.343935
   16     64.00      -30.0482    -85.4726242985    -85.4575247377    0.410880
   17     68.00       29.1150    -85.4826245117    -85.4701258680    0.340105
   18     72.00       39.2486    -85.4669172969    -85.4585820595    0.226813
   19     76.00      -40.0906    -85.4690402751    -85.4618746198    0.194987
   20     80.00       35.0496    -85.4694721985    -85.4593591245    0.275191
   21     84.00      -39.5132    -85.4530202867    -85.4392121091    0.375740
   22     88.00      -38.7453    -85.4600225913    -85.4484933723    0.313726
   23     92.00      -37.8361    -85.4565719524    -85.4502492322    0.172050
   24     96.00       41.3442    -85.4640513179    -85.4595058838    0.123688
   25    100.00      -33.1169    -85.4686748405    -85.4635729805    0.138829
   26    104.00      -27.5915    -85.4560385654    -85.4483715763    0.208629
   27    108.00      -34.5200    -85.4683206406    -85.4572483662    0.301292
   28    112.00       37.5256    -85.4766657579    -85.4655141591    0.303450
