# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -87.2611    -85.4835784339    -85.4685787240    0.408163
    1      4.00      -91.2387    -85.4681922774    -85.4533558720    0.403719
    2      8.00      -96.3205    -85.4768699795    -85.4619422494    0.406204
    3     12.00       98.0582    -85.4882956268    -85.4746961399    0.370061
    4     16.00      -94.9487    -85.4818287289    -85.4690725348    0.347114
    5     20.00       94.8950    -85.4651860406    -85.4531231045    0.328249
    6     24.00      -94.3144    -85.4726928074    -85.4609600394    0.319265
    7     28.00       92.7059    -85.4660529834    -85.4524058767    0.371357
    8     32.00      -94.9111    -85.4829720166    -85.4683776718    0.397132
    9     36.00      -92.4986    -85.4924213045    -85.4780693216    0.390537
   10     40.00       90.8428    -85.4822315484    -85.4695324142    0.345561
   11     44.00       89.3834    -85.4796226195    -85.4693139003    0.280515
   12     48.00       84.0200    -85.4667282747    -85.4561766908    0.287123
   13     52.00       82.8705    -85.4703246358    -85.4581041938    0.332535
   14     56.00       83.6823    -85.4834540850    -85.4696048558    0.376857
   15     60.00       82.0388    -85.4747615174    -85.4610373655    0.373453
   16     64.00      -81.6212    -85.4672934344    -85.4562868126    0.299505
   17     68.00       82.9318    -85.4814590320    -85.4723891377    0.246804
   18     72.00      -85.1261    -85.4899708538    -85.4806996656    0.252282
   19     76.00       89.5877    -85.4764989410    -85.4656750242    0.294534
   20     80.00      -91.3093    -85.4761256660    -85.4646613814    0.311959
   21     84.00      -90.7813    -85.4841840611    -85.4733367761    0.295170
   22     88.00       93.8973    -85.4728280907    -85.4632615570    0.260319
   23     92.00      -90.1858    -85.4743140970    -85.4657532237    0.232953
   24     96.00       87.3070    -85.4630938881    -85.4535997506    0.258349
   25    100.00      -82.7492    -85.4781450312    -85.4681170084    0.272876
   26    104.00       74.9158    -85.4982108074    -85.4879941427    0.278010
   27    108.00       75.8176    -85.4768943156    -85.4666521397    0.278704
   28    112.00       76.3344    -85.4709919571    -85.4624300352    0.232982
   29    116.00      -77.7804    -85.4777104713    -85.4685515378    0.249227
   30    120.00      -74.0507    -85.4832560871    -85.4731980094    0.273694
   31    124.00      -71.8462    -85.4694474930    -85.4591322603    0.280692
   32    128.00       70.1105    -85.4769724004    -85.4666641873    0.280501
   33    132.00       72.2675    -85.4880570839    -85.4787422319    0.253470
   34    136.00       70.4417    -85.4749378638    -85.4660821877    0.240975
   35    140.00       70.3542    -85.4799785775    -85.4714751153    0.231391
   36    144.00       67.8715    -85.4843656072    -85.4760298565    0.226827
   37    148.00       66.5675    -85.4770844397    -85.4680407559    0.246091
   38    152.00      -70.7263    -85.4841960897    -85.4748216007    0.255093
   39    156.00      -71.5860    -85.4812189219    -85.4715886741    0.262052
   40    160.00       73.6019    -85.4795045094    -85.4707027314    0.239509
   41    164.00       74.2319    -85.4744925774    -85.4656993625    0.239276
   42    168.00       70.8913    -85.4726972479    -85.4627019236    0.271987
   43    172.00      -73.3261    -85.4727803722    -85.4612299941    0.314302
   44    176.00       74.5257    -85.4795101404    -85.4680551531    0.311706
   45    180.00       71.3657    -85.4882008675    -85.4785056535    0.263820
   46    184.00       67.3868    -85.4719891386    -85.4638898679    0.220392
   47    188.00      -61.6888    -85.4793237686    -85.4717591730    0.205843
   48    192.00      -56.7203    -85.4833224721    -85.4737877915    0.259452
   49    196.00      -52.4570    -85.4754870652    -85.4635248044    0.325510
   50    200.00       57.8788    -85.4856670458    -85.4743415509    0.308182
   51    204.00      -63.7587    -85.4696879555    -85.4602946524    0.255605
   52    208.00       65.5997    -85.4729664995    -85.4648653793    0.220443
   53    212.00      -67.4756    -85.4899588422    -85.4805830849    0.255127
   54    216.00       67.4834    -85.4774808708    -85.4657319068    0.319706
   55    220.00      -65.0463    -85.4710256151    -85.4593075931    0.318864
   56    224.00       70.0479    -85.4835467401    -85.4728165709    0.291983
   57    228.00       71.2826    -85.4835394332    -85.4749949778    0.232506
   58    232.00      -76.4377    -85.4728520901    -85.4644925410    0.227475
   59    236.00       72.9662    -85.4763885193    -85.4665040230    0.268971
   60    240.00           nan               nan               nan         nan
   61    244.00       77.6798    -85.4779135018    -85.4663376191    0.314996
   62    248.00       79.9569    -85.4812915531    -85.4703513839    0.297697
   63    252.00      -78.2891    -85.4777276856    -85.4672364405    0.285481
   64    256.00      -77.8472    -85.4834797686    -85.4719448317    0.313882
   65    260.00       76.4502    -85.4872376852    -85.4745267091    0.345883
   66    264.00      -79.0533    -85.4809358094    -85.4686365126    0.334681
   67    268.00       81.3391    -85.4756181155    -85.4656563023    0.271075
   68    272.00      -78.2466    -85.4761734265    -85.4675703475    0.234102
   69    276.00       76.7853    -85.4737656461    -85.4647916824    0.244194
   70    280.00      -68.5955    -85.4759585604    -85.4659352924    0.272747
   71    284.00      -64.3606    -85.4754258852    -85.4650086608    0.283467
