# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5718886216          0.8490270347        -85.7228615868
       1        -86.5315347930          0.8134025143        -85.7181322788
       2        -86.4958653764          0.7870456634        -85.7088197130
       3        -86.4738423473          0.7727143300        -85.7011280173
       4        -86.4700838865          0.7694693899        -85.7006144966
       5        -86.4847212462          0.7782486378        -85.7064726084
       6        -86.5134427176          0.8013638006        -85.7120789170
       7        -86.5475115869          0.8354809983        -85.7120305886
       8        -86.5754644524          0.8674684405        -85.7079960119
       9        -86.5871112953          0.8806229800        -85.7064883153
      10        -86.5789670199          0.8686531788        -85.7103138411
      11        -86.5563360900          0.8420966481        -85.7142394419
      12        -86.5291959575          0.8154293557        -85.7137666018
      13        -86.5077951129          0.7978771460        -85.7099179669
      14        -86.4993826159          0.7914713029        -85.7079113130
      15        -86.5070679316          0.7961972348        -85.7108706968
      16        -86.5298899914          0.8141770568        -85.7157129346
      17        -86.5629412803          0.8472811778        -85.7156601025
      18        -86.5974781268          0.8894373629        -85.7080407639
      19        -86.6228726212          0.9244949654        -85.6983776558
      20        -86.6308589898          0.9357381767        -85.6951208131
      21        -86.6206068068          0.9208964112        -85.6997103956
      22        -86.5989338678          0.8934767871        -85.7054570806
      23        -86.5755041177          0.8680376700        -85.7074664477
      24        -86.5589985769          0.8521315158        -85.7068670611
      25        -86.5546151660          0.8461544630        -85.7084607030
      26        -86.5635532326          0.8494276763        -85.7141255563
      27        -86.5833354256          0.8637462239        -85.7195892016
      28        -86.6078788288          0.8894255859        -85.7184532429
      29        -86.6278097288          0.9176666721        -85.7101430568
      30        -86.6330159803          0.9310105702        -85.7020054101
      31        -86.6173161143          0.9152678217        -85.7020482926
      32        -86.5828669410          0.8739328316        -85.7089341094
      33        -86.5386550171          0.8236637570        -85.7149912602
      34        -86.4953695368          0.7792032921        -85.7161662448
      35        -86.4620508322          0.7472313177        -85.7148195145
      36        -86.4439766422          0.7279519779        -85.7160246643
      37        -86.4423834484          0.7214045899        -85.7209788585
      38        -86.4547860022          0.7300342152        -85.7247517871
      39        -86.4748648922          0.7533422023        -85.7215226899
      40        -86.4931564146          0.7811081051        -85.7120483095
      41        -86.5000750510          0.7959516621        -85.7041233889
      42        -86.4909720969          0.7867946069        -85.7041774899
      43        -86.4692830181          0.7600266600        -85.7092563581
      44        -86.4438694558          0.7310644188        -85.7128050370
      45        -86.4243977539          0.7120946911        -85.7123030628
      46        -86.4182180238          0.7073788970        -85.7108391268
      47        -86.4288325462          0.7163188442        -85.7125137019
      48        -86.4557095362          0.7387822879        -85.7169272484
      49        -86.4942697473          0.7754124694        -85.7188572779
      50        -86.5357177376          0.8213306707        -85.7143870669
      51        -86.5683630207          0.8618824187        -85.7064806020
      52        -86.5816760443          0.8789141591        -85.7027618852
      53        -86.5722151989          0.8661884551        -85.7060267438
      54        -86.5452109766          0.8341738428        -85.7110371337
      55        -86.5106990276          0.7983140737        -85.7123849538
      56        -86.4792368933          0.7696741603        -85.7095627330
      57        -86.4588769957          0.7523758321        -85.7065011636
      58        -86.4539138064          0.7474428332        -85.7064709732
      59        -86.4645731375          0.7565537737        -85.7080193638
      60        -86.4867372133          0.7801978930        -85.7065393203
      61        -86.5118949923          0.8112700478        -85.7006249446
      62        -86.5290757796          0.8338293940        -85.6952463856
      63        -86.5296195229          0.8328251837        -85.6967943391
      64        -86.5124681743          0.8083954371        -85.7040727372
      65        -86.4837604751          0.7734548864        -85.7103055886
      66        -86.4529362831          0.7418822722        -85.7110540108
      67        -86.4292357632          0.7218265217        -85.7074092414
      68        -86.4189711815          0.7150837753        -85.7038874063
      69        -86.4245360757          0.7212840899        -85.7032519858
      70        -86.4441717959          0.7405672466        -85.7036045493
      71        -86.4719287532          0.7708162964        -85.7011124568
      72        -86.4981915645          0.8021831470        -85.6960084175
      73        -86.5121626962          0.8184135417        -85.6937491546
      74        -86.5070434634          0.8085888504        -85.6984546129
      75        -86.4841196282          0.7779763782        -85.7061432501
      76        -86.4508854067          0.7401311841        -85.7107542226
      77        -86.4172818386          0.7066612910        -85.7106205476
      78        -86.3926459978          0.6836416807        -85.7090043172
      79        -86.3833821308          0.6731544342        -85.7102276966
      80        -86.3918934570          0.6771103248        -85.7147831321
      81        -86.4161938290          0.6979083151        -85.7182855139
      82        -86.4497175360          0.7334393346        -85.7162782013
      83        -86.4821297044          0.7717651966        -85.7103645079
      84        -86.5026015232          0.7951222875        -85.7074792357
      85        -86.5058949885          0.7954032181        -85.7104917704
      86        -86.4947518084          0.7805417547        -85.7142100537
      87        -86.4766757247          0.7628899064        -85.7137858184
      88        -86.4607852200          0.7517291313        -85.7090560886
      89        -86.4547653503          0.7504474723        -85.7043178781
      90        -86.4628664182          0.7588176196        -85.7040487986
      91        -86.4851978099          0.7767249086        -85.7084729013
      92        -86.5176219561          0.8044540248        -85.7131679313
      93        -86.5520138904          0.8377289491        -85.7142849414
      94        -86.5776477875          0.8641175582        -85.7135302293
      95        -86.5851890942          0.8692283666        -85.7159607276
      96        -86.5723625998          0.8512200858        -85.7211425140
      97        -86.5444658922          0.8209916130        -85.7234742793
      98        -86.5107280550          0.7907939590        -85.7199340961
      99        -86.4813467842          0.7689013038        -85.7124454804
     100        -86.4644299007          0.7580029903        -85.7064269104
     101        -86.4642439859          0.7581883549        -85.7060556311
     102        -86.4806174933          0.7703551855        -85.7102623077
     103        -86.5089382650          0.7952517410        -85.7136865240
     104        -86.5405566498          0.8276895718        -85.7128670780
     105        -86.5646845318          0.8541749815        -85.7105095503
     106        -86.5729772655          0.8615257916        -85.7114514739
     107        -86.5643781724          0.8496125707        -85.7147656018
     108        -86.5443044792          0.8282082182        -85.7160962610
     109        -86.5216116601          0.8083486624        -85.7132629977
     110        -86.5057016246          0.7977330982        -85.7079685264
     111        -86.5033306386          0.7986663399        -85.7046642987
     112        -86.5169817821          0.8105750600        -85.7064067222
     113        -86.5444219398          0.8329633996        -85.7114585402
     114        -86.5790656244          0.8642301694        -85.7148354551
     115        -86.6108119279          0.8964460032        -85.7143659247
     116        -86.6285522129          0.9149986835        -85.7135535294
     117        -86.6254234750          0.9093803012        -85.7160431738
     118        -86.6024943071          0.8829124512        -85.7195818559
     119        -86.5669834154          0.8466132981        -85.7203701173
     120        -86.5292789201          0.8124008402        -85.7168780798
     121        -86.4996251516          0.7886583473        -85.7109668043
     122        -86.4851496784          0.7786606912        -85.7064889872
     123        -86.4884330497          0.7828147588        -85.7056182910
     124        -86.5071857917          0.8006730568        -85.7065127349
     125        -86.5347199169          0.8290784720        -85.7056414449
     126        -86.5610500608          0.8581274732        -85.7029225876
     127        -86.5759514590          0.8735665767        -85.7023848823
     128        -86.5743717971          0.8687315609        -85.7056402362
     129        -86.5583571888          0.8488692846        -85.7094879041
     130        -86.5346962064          0.8239310166        -85.7107651898
     131        -86.5125116448          0.8040619471        -85.7084496977
     132        -86.5001095379          0.7957494850        -85.7043600529
     133        -86.5023480014          0.8004716262        -85.7018763752
     134        -86.5196795042          0.8171160718        -85.7025634324
     135        -86.5481245996          0.8437150120        -85.7044095876
     136        -86.5798876415          0.8752408653        -85.7046467762
     137        -86.6048157766          0.9006695460        -85.7041462306
     138        -86.6139088443          0.9073555251        -85.7065533192
     139        -86.6042912571          0.8922518154        -85.7120394416
     140        -86.5798040409          0.8625851501        -85.7172188908
     141        -86.5486258878          0.8292047949        -85.7194210929
     142        -86.5210034885          0.8031028080        -85.7179006806
     143        -86.5058340851          0.7913360065        -85.7144980787
     144        -86.5082317370          0.7963081703        -85.7119235667
     145        -86.5285959981          0.8178711853        -85.7107248128
     146        -86.5624556883          0.8536432035        -85.7088124848
     147        -86.6009970235          0.8958109649        -85.7051860586
     148        -86.6329420243          0.9301184720        -85.7028235523
     149        -86.6491336223          0.9441311705        -85.7050024518
     150        -86.6469690244          0.9370202529        -85.7099487715
     151        -86.6298151762          0.9155289465        -85.7142862298
     152        -86.6048586615          0.8886467128        -85.7162119487
     153        -86.5809083812          0.8650617929        -85.7158465883
     154        -86.5650720791          0.8500424426        -85.7150296365
     155        -86.5608134020          0.8454697765        -85.7153436255
     156        -86.5672443177          0.8513568755        -85.7158874422
     157        -86.5791435056          0.8649457572        -85.7141977484
     158        -86.5878735931          0.8777665796        -85.7101070135
     159        -86.5839476457          0.8770301343        -85.7069175114
     160        -86.5621028355          0.8556979680        -85.7064048675
     161        -86.5242205957          0.8182364181        -85.7059841777
     162        -86.4772445546          0.7732591139        -85.7039854408
     163        -86.4311159619          0.7301200079        -85.7009959540
     164        -86.3962076060          0.6972525379        -85.6989550680
     165        -86.3800464193          0.6800018988        -85.7000445204
     166        -86.3854909726          0.6806566334        -85.7048343392
     167        -86.4100897372          0.6990268223        -85.7110629149
     168        -86.4464843640          0.7308205672        -85.7156637968
     169        -86.4838450405          0.7653341916        -85.7185108489
     170        -86.5111391606          0.7889906437        -85.7221485169
     171        -86.5222697531          0.7960680503        -85.7262017028
     172        -86.5178128065          0.7905969713        -85.7272158352
     173        -86.5028157674          0.7784051487        -85.7244106187
