# CDFTB-CI Spectral Densities
# nu(cm-1)      SD_J(cm-1)      SD_dE1(cm-1)    SD_dE2(cm-1)
    593.8898        3.937474       32.655567       32.948710
    597.8958        1.525884       19.669915       28.502669
    601.9018        1.184576       26.123154       31.785419
    605.9078        1.534799       28.298856       24.424993
    609.9138        0.991230       21.916596       23.816729
    613.9198        1.074740       22.690307       23.684037
    617.9259        5.637370       28.150114       30.979840
    621.9319        1.122732       20.829512       26.761972
    625.9379        1.187487       14.799403       18.325222
    629.9439        0.921309       18.463013       18.028254
    633.9499        0.984077       17.196050       17.202953
    637.9559        0.905656       17.621607       17.062354
    641.9619        1.032826       20.271182       18.094287
    645.9679        1.301484       13.668457       15.684605
    649.9739        0.937854       13.497964       18.293142
    653.9800        1.189838       13.882540       18.357868
    657.9860        0.611596       14.349682       18.569897
    661.9920        1.314867       15.802131       15.788253
    665.9980        0.857810       15.536701       16.889719
    670.0040        1.037841       18.285066       25.436137
    674.0100        1.252750       28.132509       29.135679
    678.0160        1.010160       25.174368       25.348974
    682.0220        0.834730       27.973562       18.515102
    686.0281        1.162410       26.938666       28.124513
    690.0341        1.571392       48.900028       53.551863
    694.0401        1.127628       36.413291       43.832804
    698.0461        1.128877       24.314768       26.725033
    702.0521        1.434670       22.081492       26.969763
    706.0581        1.314689       20.549293       23.501802
    710.0641        1.176831       20.898081       25.949207
    714.0701        1.508428       18.792992       27.514126
    718.0762        1.694512       22.019095       31.894684
    722.0822        2.490968       36.762452       47.335874
    726.0882        3.826906       50.863787       94.770436
    730.0942        4.226942       98.807453      193.508638
    734.1002        4.253977      102.778488      181.329329
    738.1062        2.794281       65.868065      102.384396
    742.1122        2.110851       41.547133       67.967397
    746.1182        3.358184       41.650985       56.869133
    750.1242        3.538608       52.464653       57.385505
    754.1303       35.614117       63.105610       85.915810
    758.1363       19.905410      112.186823      157.963706
    762.1423        5.829142       74.060014       92.693634
    766.1483        2.391061      100.820333      101.798644
    770.1543        1.868948      108.988080       96.982833
    774.1603        2.477664      139.569569      165.811816
    778.1663        2.597972      246.088393      268.566591
    782.1723        3.115509      564.060154      612.170508
    786.1784        8.153040     1749.472988     1816.425938
    790.1844        9.398387     3370.330272     3402.514300
    794.1904        5.597028     4387.785080     4749.408374
    798.1964        5.479216     3288.552907     3193.894963
    802.2024        3.327678     2383.982108     2350.808286
    806.2084        3.651096     1398.650608     1483.204735
    810.2144        2.664797      621.029576      547.962999
    814.2204        2.265360      266.945868      262.733159
    818.2265        1.862972      192.856767      212.134086
    822.2325        2.742726      140.176255      161.780065
    826.2385        2.768945      166.664455      169.940289
    830.2445        2.835092      286.159205      225.414504
    834.2505        2.570483      484.233715      425.378432
    838.2565        4.194604      417.850008      362.362685
    842.2625        6.609820      328.334453      383.427712
    846.2685        6.441701      372.012157      566.517695
    850.2745        3.318602      431.093704      404.083666
    854.2806        3.417822      358.298003      321.787324
    858.2866        3.834309      344.927307      249.895613
    862.2926        4.109128      266.511672      178.501628
    866.2986        2.776023      188.552682       97.937349
    870.3046        3.994024      238.846680      152.705537
    874.3106        2.687247      139.862249      263.579839
    878.3166        6.023231      208.905151      635.395871
    882.3226        5.613764      197.569179      743.189495
    886.3287        2.164049       88.500662      252.388967
    890.3347        2.242498       56.769607       95.196655
    894.3407        2.508907       46.760584       71.228871
    898.3467        2.178387       36.250561       46.189058
    902.3527        1.867668       38.592461       58.019927
    906.3587        3.785954       49.264341       60.883888
    910.3647        4.502804       60.102466       66.602489
    914.3707        4.817001      106.508744       87.160297
    918.3768       11.112117       89.521481       70.982330
    922.3828        3.418548       47.399430       93.145037
    926.3888        3.083573       54.490707      153.677887
    930.3948        1.239177      122.390275      170.883634
    934.4008        2.006708      311.900586      336.913836
    938.4068        1.773276      136.831445      161.245004
    942.4128        2.236370      157.638292      170.066967
    946.4188        1.008863      394.495714      453.857121
    950.4248        1.262569      220.499664      277.085969
    954.4309        1.025387      238.654453      256.820349
    958.4369        1.514471      265.692244      261.862590
    962.4429        1.494678      153.556462      166.678986
    966.4489        1.559911       83.986333       84.381965
    970.4549        1.070500       49.822013       54.708517
    974.4609        1.533515       40.124864       44.720209
    978.4669        1.159888       42.994305       34.565394
    982.4729        0.800166       36.871686       35.871753
    986.4790        0.672873       39.651318       29.757315
    990.4850        1.023553       36.499545       34.463799
    994.4910        1.319999       51.473769       58.390900
    998.4970        0.890559       60.040264       69.997390
   1002.5030        1.133860      106.844719      123.988824
   1006.5090        1.193883      117.523392      122.162509
   1010.5150        0.543358      137.128636      153.150126
   1014.5210        0.895440      125.254066      152.127797
   1018.5271        0.615422       91.687971      100.839754
   1022.5331        0.759028       65.915866       64.872713
   1026.5391        0.735809       55.522367       49.362931
   1030.5451        0.817501       63.656115       42.725657
   1034.5511        0.951651       53.344707       50.744173
   1038.5571        0.759940       98.861764      102.246148
   1042.5631        0.550235      113.857312      131.980779
   1046.5691        0.282176      123.658747      137.285865
   1050.5752        0.635814      207.390472      232.551257
   1054.5812        0.437256      342.524102      347.911167
   1058.5872        0.764536      438.760747      468.471309
   1062.5932        0.523381      226.532575      277.592095
   1066.5992        0.473932      234.173608      222.855181
   1070.6052        0.245063      372.966975      455.908624
   1074.6112        0.470088      802.578211      906.820382
   1078.6172        0.782947     1388.206835     1632.031984
   1082.6232        0.940240     1548.997900     1616.974225
   1086.6293        0.523949     1226.261595     1353.091135
   1090.6353        0.202814      957.058623      896.103486
   1094.6413       -0.183195      737.314017      818.573788
   1098.6473        0.597994      735.484100      934.545796
