# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -79.6208    -85.4658198219    -85.4572446732    0.233342
    1      4.00       75.3245    -85.4780298233    -85.4687826810    0.251628
    2      8.00      -70.5614    -85.4789804989    -85.4671956877    0.320681
    3     12.00       68.7595    -85.4749237761    -85.4605496972    0.391139
    4     16.00      -67.5398    -85.4643868925    -85.4508360931    0.368736
    5     20.00       67.3654    -85.4633288295    -85.4513882612    0.324919
    6     24.00      -72.7927    -85.4614954554    -85.4509046719    0.288190
    7     28.00       73.8368    -85.4830537106    -85.4737250730    0.253845
    8     32.00       81.5072    -85.4813833682    -85.4711370194    0.278817
    9     36.00       83.4097    -85.4735532783    -85.4631335902    0.283534
   10     40.00      -82.9922    -85.4648640852    -85.4549866010    0.268780
   11     44.00      -84.2933    -85.4584609853    -85.4483234639    0.275856
   12     48.00       77.6167    -85.4777914138    -85.4681959480    0.261106
   13     52.00      -74.6335    -85.4772953508    -85.4675225967    0.265930
   14     56.00       69.8268    -85.4610415080    -85.4508373225    0.277670
   15     60.00       61.1586    -85.4664517935    -85.4570212716    0.256618
   16     64.00       61.2200    -85.4725229582    -85.4630078027    0.258921
   17     68.00      -62.8937    -85.4704990649    -85.4604514925    0.273408
   18     72.00      -64.4604    -85.4581014776    -85.4482509095    0.268048
   19     76.00      -65.4550    -85.4698656486    -85.4599199530    0.270636
   20     80.00      -68.1036    -85.4805622220    -85.4701777947    0.282575
   21     84.00       68.0790    -85.4656117684    -85.4548318999    0.293335
   22     88.00      -66.6202    -85.4616893144    -85.4503361253    0.308936
   23     92.00      -66.0569    -85.4727350634    -85.4627718368    0.271113
   24     96.00       63.5546    -85.4784260676    -85.4704863487    0.216051
   25    100.00       61.5143    -85.4675867231    -85.4595058086    0.219893
   26    104.00       63.1885    -85.4664111719    -85.4560958603    0.280694
   27    108.00       65.5290    -85.4677263974    -85.4544860412    0.360288
   28    112.00       65.2894    -85.4791293159    -85.4670188507    0.329543
   29    116.00       62.6016    -85.4830425430    -85.4746698341    0.227833
   30    120.00       59.2434    -85.4771333362    -85.4698985716    0.196868
   31    124.00       51.6396    -85.4811144928    -85.4716814681    0.256686
   32    128.00      -47.8797    -85.4832386869    -85.4687198643    0.395077
   33    132.00      -44.6798    -85.4787993274    -85.4611816352    0.479402
   34    136.00      -43.7826    -85.4685811516    -85.4534233650    0.412464
   35    140.00       39.4572    -85.4756606472    -85.4642150760    0.311450
   36    144.00      -37.8776    -85.4840333904    -85.4738023769    0.278400
   37    148.00      -39.5454    -85.4811122571    -85.4690564850    0.328054
