# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.5689284318          0.8767576973        -85.6921707346
       1        -86.5691113569          0.8794904617        -85.6896208952
       2        -86.5604278055          0.8672566256        -85.6931711799
       3        -86.5465495761          0.8451284065        -85.7014211696
       4        -86.5331964629          0.8253497583        -85.7078467046
       5        -86.5250234091          0.8173480750        -85.7076753341
       6        -86.5232924721          0.8210502773        -85.7022421948
       7        -86.5264226830          0.8297751809        -85.6966475021
       8        -86.5311866978          0.8362800334        -85.6949066644
       9        -86.5349808787          0.8397135009        -85.6952673778
      10        -86.5367570093          0.8448777403        -85.6918792690
      11        -86.5345530497          0.8491329688        -85.6854200809
      12        -86.5263829932          0.8438507139        -85.6825322793
      13        -86.5130442025          0.8261288815        -85.6869153210
      14        -86.4988655981          0.8040408037        -85.6948247944
      15        -86.4895046365          0.7899759362        -85.6995287003
      16        -86.4886905348          0.7902149792        -85.6984755556
      17        -86.4962081489          0.8006142401        -85.6955939088
      18        -86.5091428095          0.8130937937        -85.6960490159
      19        -86.5234306815          0.8224420968        -85.7009885847
      20        -86.5361806028          0.8316127038        -85.7045678990
      21        -86.5454622546          0.8442027758        -85.7012594788
      22        -86.5485723360          0.8540254607        -85.6945468753
      23        -86.5440058446          0.8517353911        -85.6922704535
      24        -86.5337347395          0.8365566123        -85.6971781273
      25        -86.5230579215          0.8191374957        -85.7039204258
      26        -86.5173428273          0.8117445940        -85.7055982333
      27        -86.5187306364          0.8176820854        -85.7010485510
      28        -86.5254652927          0.8301193015        -85.6953459912
      29        -86.5335569526          0.8395275330        -85.6940294195
      30        -86.5390807416          0.8414330782        -85.6976476635
      31        -86.5406197079          0.8418056775        -85.6988140304
      32        -86.5373920921          0.8443322213        -85.6930598708
      33        -86.5275747239          0.8419817965        -85.6855929274
      34        -86.5108722058          0.8268853886        -85.6839868172
      35        -86.4905835802          0.8015452684        -85.6890383119
      36        -86.4726764212          0.7786012113        -85.6940752099
      37        -86.4620562736          0.7686091997        -85.6934470740
      38        -86.4597053230          0.7708555344        -85.6888497886
      39        -86.4629922869          0.7759169751        -85.6870753118
      40        -86.4679424358          0.7754557950        -85.6924866408
      41        -86.4718918681          0.7706821128        -85.7012097553
      42        -86.4742309722          0.7701824025        -85.7040485697
      43        -86.4736918225          0.7748558328        -85.6988359897
      44        -86.4682324656          0.7755371744        -85.6926952912
      45        -86.4578953142          0.7654253150        -85.6924699992
      46        -86.4464979693          0.7500657617        -85.6964322076
      47        -86.4399707399          0.7432908306        -85.6966799093
      48        -86.4422803377          0.7530926628        -85.6891876749
      49        -86.4532237331          0.7745529830        -85.6786707502
      50        -86.4694390398          0.7956895984        -85.6737494414
      51        -86.4866744684          0.8078188281        -85.6788556403
      52        -86.5024272550          0.8139855173        -85.6884417377
      53        -86.5159352391          0.8229092612        -85.6930259779
      54        -86.5252147131          0.8333045676        -85.6919101455
      55        -86.5279658806          0.8358500202        -85.6921158604
      56        -86.5245589280          0.8260744029        -85.6984845251
      57        -86.5189561068          0.8114946313        -85.7074614755
      58        -86.5165615457          0.8055742521        -85.7109872937
      59        -86.5201882694          0.8141511487        -85.7060371207
      60        -86.5283710174          0.8303662174        -85.6980048000
      61        -86.5372369726          0.8426342396        -85.6946027330
      62        -86.5432544205          0.8451309749        -85.6981234457
      63        -86.5453026014          0.8435144952        -85.7017881062
      64        -86.5432501578          0.8442263179        -85.6990238399
      65        -86.5360314576          0.8439729675        -85.6920584901
      66        -86.5226843868          0.8338663169        -85.6888180699
      67        -86.5047635390          0.8116751845        -85.6930883545
      68        -86.4871289856          0.7877889838        -85.6993400018
      69        -86.4750450840          0.7758219105        -85.6992231735
      70        -86.4705194690          0.7791647346        -85.6913547344
      71        -86.4715626698          0.7888267672        -85.6827359026
      72        -86.4743674114          0.7933864422        -85.6809809692
      73        -86.4762562995          0.7900050439        -85.6862512556
      74        -86.4770186997          0.7869979709        -85.6900207288
      75        -86.4764509997          0.7893284738        -85.6871225258
      76        -86.4730532299          0.7914249950        -85.6816282349
      77        -86.4656782022          0.7842245828        -85.6814536193
      78        -86.4555783354          0.7666647821        -85.6889135533
      79        -86.4468843011          0.7494078924        -85.6974764087
      80        -86.4434862723          0.7437730305        -85.6997132418
      81        -86.4460283228          0.7504539821        -85.6955743407
      82        -86.4523350416          0.7607681672        -85.6915668744
      83        -86.4596782971          0.7664841516        -85.6931941454
      84        -86.4669654738          0.7685114035        -85.6984540703
      85        -86.4750672503          0.7753395242        -85.6997277261
      86        -86.4840877431          0.7896501227        -85.6944376204
      87        -86.4925386205          0.8042378773        -85.6883007432
      88        -86.4990893739          0.8102018981        -85.6888874757
      89        -86.5049139175          0.8086006961        -85.6963132214
      90        -86.5132764896          0.8102203472        -85.7030561424
      91        -86.5261089070          0.8230080807        -85.7031008263
      92        -86.5416758618          0.8430868279        -85.6985890339
      93        -86.5558863240          0.8594852816        -85.6964010424
      94        -86.5649660868          0.8644135126        -85.7005525742
      95        -86.5678392205          0.8614464007        -85.7063928198
