# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -88.2919    -85.4882411292    -85.4759550577    0.334321
    1      4.00      -96.9615    -85.4816227899    -85.4710339900    0.288136
    2      8.00      -90.3806    -85.4875823681    -85.4794383174    0.221611
    3     12.00      -86.5025    -85.4818200737    -85.4733427026    0.230681
    4     16.00      -80.0384    -85.4806749399    -85.4681208343    0.341615
    5     20.00       78.1094    -85.4770841956    -85.4598004212    0.470315
    6     24.00       75.9780    -85.4707815583    -85.4549716216    0.430210
    7     28.00       78.8546    -85.4809751867    -85.4701195093    0.295398
    8     32.00      -81.6597    -85.4820911411    -85.4742764484    0.212649
    9     36.00      -87.1960    -85.4765503820    -85.4680707745    0.230742
   10     40.00       88.6781    -85.4796686120    -85.4680950549    0.314933
   11     44.00       83.4510    -85.4800981273    -85.4673598618    0.346626
   12     48.00       76.4050    -85.4846868085    -85.4736277629    0.300932
   13     52.00      -72.8124    -85.4889291087    -85.4793423771    0.260868
   14     56.00      -69.2821    -85.4824622997    -85.4719965858    0.284787
   15     60.00       68.7370    -85.4655286185    -85.4528552841    0.344859
   16     64.00       64.7456    -85.4733518988    -85.4616703086    0.317872
   17     68.00       62.4322    -85.4775851695    -85.4695920196    0.217505
   18     72.00      -65.1236    -85.4758205889    -85.4693914903    0.174945
   19     76.00      -67.2467    -85.4832947419    -85.4747969873    0.231236
   20     80.00       62.7342    -85.4746959852    -85.4606255551    0.382876
   21     84.00      -55.4825    -85.4757735714    -85.4587988324    0.461906
   22     88.00      -54.0667    -85.4955581805    -85.4819105981    0.371370
   23     92.00       53.7211    -85.4978118033    -85.4896509504    0.222068
   24     96.00       51.4662    -85.4843013421    -85.4789709005    0.145049
   25    100.00      -45.6141    -85.4699196657    -85.4631057006    0.185417
   26    104.00      -42.0259    -85.4663744347    -85.4541032236    0.333917
   27    108.00      -40.2180    -85.4766984997    -85.4622416816    0.393390
   28    112.00      -40.9917    -85.4900060480    -85.4780013261    0.326665
   29    116.00      -40.8345    -85.4842711490    -85.4740386394    0.278441
   30    120.00       26.0726    -85.4806445906    -85.4718941631    0.238111
   31    124.00       31.3940    -85.4842578604    -85.4748205905    0.256801
   32    128.00       25.6730    -85.4812908715    -85.4710097952    0.279762
   33    132.00       24.7780    -85.4745318011    -85.4657938479    0.237772
   34    136.00       28.0341    -85.4735698085    -85.4657601296    0.212512
   35    140.00      -26.6955    -85.4851587388    -85.4766269496    0.232162
   36    144.00       27.7505    -85.4834173626    -85.4739407530    0.257872
   37    148.00      -28.6694    -85.4718313720    -85.4618603762    0.271325
   38    152.00       17.3865    -85.4758973775    -85.4667789612    0.248125
   39    156.00       14.5720    -85.4832979577    -85.4738370897    0.257443
   40    160.00      -11.5831    -85.4899124333    -85.4792962651    0.288881
   41    164.00        6.3203    -85.4825426319    -85.4719599957    0.287968
   42    168.00      -15.6566    -85.4750949359    -85.4648949106    0.277557
   43    172.00        9.8387    -85.4841254395    -85.4759902541    0.221370
   44    176.00       27.0329    -85.4764503121    -85.4701863598    0.170451
   45    180.00       22.6171    -85.4751932683    -85.4691328792    0.164912
   46    184.00      -21.7980    -85.4887503511    -85.4823898089    0.173079
   47    188.00      -24.4450    -85.4860347424    -85.4781995184    0.213207
   48    192.00       26.6491    -85.4735379305    -85.4632644930    0.279554
   49    196.00       21.5123    -85.4844819470    -85.4742485158    0.278466
   50    200.00       28.9473    -85.4933731097    -85.4840536312    0.253596
   51    204.00       26.6473    -85.4839181883    -85.4767044577    0.196296
   52    208.00      -27.8587    -85.4774330638    -85.4724804384    0.134768
   53    212.00       28.8309    -85.4697966690    -85.4649455833    0.132005
   54    216.00      -31.1389    -85.4748166729    -85.4683491774    0.175990
   55    220.00      -31.6396    -85.4857044011    -85.4773049380    0.228561
