# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -50.1645    -85.4796834451    -85.4693929070    0.280020
    1      4.00      -54.7475    -85.4725629224    -85.4635879095    0.244223
    2      8.00      -56.9504    -85.4820262607    -85.4720712770    0.270889
    3     12.00       59.1602    -85.4818828892    -85.4704238600    0.311816
    4     16.00      -51.3333    -85.4720269011    -85.4603520966    0.317688
    5     20.00       52.3806    -85.4788947009    -85.4681061708    0.293571
    6     24.00       60.6708    -85.4776562794    -85.4686659523    0.244639
    7     28.00      -58.0585    -85.4851386540    -85.4773204145    0.212745
    8     32.00       65.4825    -85.4740262614    -85.4666138019    0.201703
    9     36.00           nan               nan               nan         nan
   10     40.00       56.0361    -85.4657008434    -85.4558262284    0.268702
   11     44.00      -62.6270    -85.4705069983    -85.4608651643    0.262368
   12     48.00       61.1608    -85.4869183324    -85.4776615412    0.251890
   13     52.00      -63.9103    -85.4781696931    -85.4686110708    0.260103
   14     56.00      -65.6003    -85.4778149513    -85.4676943324    0.275396
   15     60.00       61.0280    -85.4629103683    -85.4516699593    0.305867
   16     64.00      -67.3454    -85.4700555801    -85.4589718663    0.301603
   17     68.00       72.3362    -85.4823087585    -85.4725813802    0.264695
   18     72.00      -73.4953    -85.4638132288    -85.4544727067    0.254169
   19     76.00       82.3464    -85.4688987779    -85.4596856647    0.250702
   20     80.00       82.5707    -85.4777467534    -85.4682722203    0.257815
   21     84.00      -84.9602    -85.4793984992    -85.4690917859    0.280460
   22     88.00      -91.2042    -85.4704963443    -85.4599575113    0.286776
   23     92.00       92.5173    -85.4725043713    -85.4622768375    0.278305
   24     96.00      -93.5062    -85.4905199314    -85.4801605020    0.281894
   25    100.00       95.9056    -85.4660755197    -85.4559075624    0.276684
   26    104.00       91.2243    -85.4602881251    -85.4504112790    0.268763
   27    108.00      -97.3393    -85.4869425274    -85.4764786692    0.284736
   28    112.00       93.4079    -85.4738785828    -85.4637095544    0.276713
   29    116.00       88.5178    -85.4556457784    -85.4466710814    0.244214
   30    120.00      -91.5531    -85.4638374453    -85.4560392910    0.212199
   31    124.00      -93.9304    -85.4848830791    -85.4768845692    0.217651
   32    128.00     -101.2194    -85.4673829177    -85.4573453251    0.273137
   33    132.00     -104.9952    -85.4613983770    -85.4491021896    0.334596
   34    136.00      108.8895    -85.4696244197    -85.4567800605    0.349513
   35    140.00      112.6317    -85.4622845439    -85.4522480239    0.273108
   36    144.00      111.3563    -85.4580566060    -85.4497104625    0.227110
   37    148.00           nan               nan               nan         nan
