# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00       94.7035    -85.4591162411    -85.4508915161    0.223806
    1      4.00      -94.4589    -85.4501564826    -85.4420160332    0.221513
    2      8.00       94.7750    -85.4577303039    -85.4489522240    0.238864
    3     12.00      -90.9081    -85.4731397178    -85.4633974029    0.265102
    4     16.00      -93.5978    -85.4730092128    -85.4627007313    0.280508
    5     20.00       88.9495    -85.4696064464    -85.4608281722    0.238869
    6     24.00       85.1423    -85.4513748100    -85.4428245921    0.232663
    7     28.00      -82.5178    -85.4604989466    -85.4511484610    0.254440
    8     32.00      -79.0203    -85.4759659225    -85.4660661375    0.269387
    9     36.00       77.1379    -85.4537956562    -85.4435647873    0.278396
   10     40.00      -76.9623    -85.4501030504    -85.4405898794    0.258867
   11     44.00       77.6878    -85.4561353748    -85.4478370431    0.225809
   12     48.00      -71.7239    -85.4694215189    -85.4615351173    0.214600
   13     52.00       68.1592    -85.4696853714    -85.4616633221    0.218291
   14     56.00       64.8080    -85.4674946200    -85.4601003041    0.201210
   15     60.00      -62.8507    -85.4470134171    -85.4398679628    0.194438
   16     64.00       62.9120    -85.4418222188    -85.4338724142    0.216325
   17     68.00       56.3372    -85.4761150754    -85.4679571206    0.221989
   18     72.00       54.8839    -85.4722748898    -85.4650696451    0.196065
   19     76.00      -55.2954    -85.4630949658    -85.4572134217    0.160045
   20     80.00      -57.0576    -85.4702388088    -85.4640404901    0.168665
   21     84.00       53.6960    -85.4766325604    -85.4690021282    0.207635
   22     88.00      -50.5248    -85.4695020909    -85.4609484242    0.232757
   23     92.00       46.8852    -85.4566140748    -85.4492341957    0.200817
   24     96.00      -45.4688    -85.4604423010    -85.4547752459    0.154208
   25    100.00       37.2750    -85.4714881091    -85.4658058904    0.154621
   26    104.00      -33.7377    -85.4549924306    -85.4467150747    0.225238
   27    108.00       28.3754    -85.4525081879    -85.4412719164    0.305755
   28    112.00      -25.4705    -85.4693522493    -85.4567168461    0.343827
   29    116.00      -28.7981    -85.4714213657    -85.4607609039    0.290086
   30    120.00       27.6319    -85.4506265584    -85.4434162623    0.196202
   31    124.00       36.6792    -85.4571050196    -85.4510213205    0.165546
   32    128.00       38.6816    -85.4609670366    -85.4533658476    0.206839
   33    132.00      -39.4599    -85.4637130287    -85.4537784520    0.270334
   34    136.00      -42.9032    -85.4714722893    -85.4620833822    0.255485
   35    140.00      -46.3322    -85.4630620811    -85.4573531800    0.155347
   36    144.00      -42.4421    -85.4690999315    -85.4653780716    0.101277
   37    148.00       39.3691    -85.4783952092    -85.4734911684    0.133446
   38    152.00       31.2356    -85.4739417324    -85.4635843319    0.281839
   39    156.00       35.0081    -85.4687061412    -85.4534761952    0.414428
   40    160.00      -40.1173    -85.4709429782    -85.4578708294    0.355711
   41    164.00      -39.5201    -85.4712774446    -85.4645794046    0.182263
   42    168.00      -48.1414    -85.4588713644    -85.4547445430    0.112297
   43    172.00      -51.6033    -85.4609283992    -85.4552845211    0.153578
   44    176.00      -50.6104    -85.4725381318    -85.4625838879    0.270869
   45    180.00      -51.5945    -85.4738983607    -85.4612660469    0.343743
   46    184.00       53.9179    -85.4727481420    -85.4630836440    0.262984
   47    188.00       56.1136    -85.4627577289    -85.4565458264    0.169034
   48    192.00       62.3753    -85.4661182773    -85.4595992082    0.177393
   49    196.00       61.0091    -85.4625722042    -85.4533079317    0.252094
   50    200.00      -61.8924    -85.4591526405    -85.4464730633    0.345029
   51    204.00      -66.1957    -85.4769599513    -85.4652865631    0.317649
