# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -67.5520    -85.4757021941    -85.4689664756    0.183288
    1      4.00      -70.9500    -85.4631278182    -85.4565795171    0.178188
    2      8.00       70.2457    -85.4517786772    -85.4445302196    0.197241
    3     12.00       74.3759    -85.4686686881    -85.4603365462    0.226729
    4     16.00       77.1851    -85.4758599868    -85.4665487448    0.253372
    5     20.00       74.9405    -85.4690801054    -85.4592165127    0.268402
    6     24.00      -68.8792    -85.4665114084    -85.4576957824    0.239885
    7     28.00       65.3598    -85.4641363258    -85.4555193921    0.234479
    8     32.00       67.3402    -85.4640405580    -85.4557939602    0.224401
    9     36.00       72.8453    -85.4621105024    -85.4538747517    0.224106
   10     40.00       73.1270    -85.4633257895    -85.4544997957    0.240168
   11     44.00      -70.8620    -85.4599512886    -85.4515498810    0.228614
   12     48.00      -67.8325    -85.4587953161    -85.4510879539    0.209728
   13     52.00       64.1930    -85.4683542410    -85.4607652164    0.206508
   14     56.00       66.2481    -85.4679317923    -85.4594497035    0.230809
   15     60.00      -63.0269    -85.4703502570    -85.4598734359    0.285089
   16     64.00      -60.0230    -85.4705211762    -85.4592930174    0.305534
   17     68.00       55.5095    -85.4504127064    -85.4411927889    0.250887
   18     72.00       59.5548    -85.4503226042    -85.4432663790    0.192010
   19     76.00       61.7627    -85.4686528647    -85.4621807032    0.176116
   20     80.00       58.5567    -85.4701085229    -85.4611733810    0.243138
   21     84.00      -57.9145    -85.4629460196    -85.4510853022    0.322747
   22     88.00      -54.5484    -85.4716133173    -85.4603400095    0.306762
   23     92.00      -59.7755    -85.4766825635    -85.4688247943    0.213821
   24     96.00      -69.8729    -85.4610413347    -85.4542378646    0.185132
   25    100.00       66.5901    -85.4545230120    -85.4463275483    0.223010
   26    104.00      -64.4109    -85.4608098570    -85.4488365944    0.325809
   27    108.00      -58.1939    -85.4713120184    -85.4576359511    0.372145
   28    112.00       61.6759    -85.4734582181    -85.4630348358    0.283635
   29    116.00      -65.4402    -85.4605025194    -85.4536122751    0.187493
   30    120.00       61.7618    -85.4633713527    -85.4566367132    0.183259
   31    124.00      -58.1678    -85.4784448133    -85.4691394536    0.253212
   32    128.00      -58.0324    -85.4689161445    -85.4569427222    0.325813
   33    132.00       58.9103    -85.4614043161    -85.4508184677    0.288056
   34    136.00      -60.4804    -85.4569442446    -85.4498111618    0.194101
   35    140.00      -62.1728    -85.4674258636    -85.4610228304    0.174235
   36    144.00       54.0967    -85.4750764461    -85.4658603801    0.250782
   37    148.00      -51.7853    -85.4653619991    -85.4527170178    0.344087
   38    152.00      -54.3601    -85.4757691021    -85.4635547618    0.332369
   39    156.00      -48.9627    -85.4714271520    -85.4622171397    0.250617
   40    160.00      -56.4909    -85.4599116266    -85.4528736051    0.191514
   41    164.00       61.2941    -85.4628084563    -85.4548488161    0.216593
   42    168.00      -62.8908    -85.4617118772    -85.4511564477    0.287228
   43    172.00       67.2182    -85.4696516504    -85.4581952428    0.311745
   44    176.00      -69.9558    -85.4647184135    -85.4543938507    0.280946
   45    180.00       70.6332    -85.4601537708    -85.4507399016    0.256164
   46    184.00       68.6052    -85.4670856572    -85.4575618666    0.259156
   47    188.00       67.7994    -85.4597561932    -85.4489478955    0.294109
   48    192.00       65.5937    -85.4625357556    -85.4508025542    0.319277
   49    196.00       61.4375    -85.4724507086    -85.4620044780    0.284256
   50    200.00       62.4123    -85.4707323594    -85.4622615560    0.230502
   51    204.00      -57.5776    -85.4653425149    -85.4586055004    0.183324
   52    208.00       53.3910    -85.4600520811    -85.4522950074    0.211081
   53    212.00      -54.4764    -85.4719665284    -85.4617480273    0.278060
   54    216.00      -55.2247    -85.4731663237    -85.4631014211    0.273880
   55    220.00       55.2897    -85.4701596742    -85.4609002441    0.251962
   56    224.00       60.5184    -85.4631925864    -85.4542402354    0.243606
   57    228.00       56.2088    -85.4571580617    -85.4482355298    0.242794
   58    232.00      -56.7909    -85.4667853615    -85.4556865142    0.302015
   59    236.00       57.9625    -85.4753947201    -85.4621819397    0.359538
   60    240.00       62.4908    -85.4818730212    -85.4684640771    0.364876
   61    244.00       63.2852    -85.4605188605    -85.4476923274    0.349028
   62    248.00      -57.8090    -85.4590375422    -85.4480562690    0.298816
   63    252.00       62.4285    -85.4705732269    -85.4607325432    0.267779
   64    256.00       65.4605    -85.4545267965    -85.4455787824    0.243488
   65    260.00       60.8412    -85.4540092686    -85.4450779946    0.243032
   66    264.00      -65.0892    -85.4727438439    -85.4616253306    0.302550
   67    268.00       64.4162    -85.4690556895    -85.4573215185    0.319303
   68    272.00      -59.5704    -85.4652438587    -85.4547454108    0.285677
   69    276.00      -63.8359    -85.4686997739    -85.4589064415    0.266490
   70    280.00      -57.0006    -85.4688177258    -85.4604123516    0.228722
   71    284.00      -52.2741    -85.4670829937    -85.4578124341    0.252265
   72    288.00      -47.1987    -85.4689247941    -85.4569319783    0.326341
   73    292.00       47.9265    -85.4683749362    -85.4557831379    0.342640
   74    296.00      -49.7477    -85.4650162685    -85.4528080944    0.332201
   75    300.00       51.7959    -85.4680556615    -85.4565739430    0.312433
   76    304.00       56.2704    -85.4653422609    -85.4532678739    0.328561
   77    308.00       61.6714    -85.4758785349    -85.4616812045    0.386329
   78    312.00       60.1776    -85.4797742291    -85.4666464140    0.357226
   79    316.00      -57.0844    -85.4617779474    -85.4513084216    0.284890
   80    320.00       62.5242    -85.4582106075    -85.4488769190    0.253983
   81    324.00       55.1164    -85.4639852913    -85.4532933742    0.290942
   82    328.00      -49.1392    -85.4680303617    -85.4511112424    0.460393
   83    332.00      -43.9432    -85.4823726637    -85.4624834765    0.541212
   84    336.00       45.2350    -85.4697218622    -85.4537652401    0.434202
   85    340.00      -46.8814    -85.4741268133    -85.4648629365    0.252083
   86    344.00       51.7683    -85.4781085917    -85.4720617150    0.164544
   87    348.00       55.7201    -85.4595248568    -85.4502551962    0.252240
   88    352.00       52.7641    -85.4690910220    -85.4532233612    0.431781
   89    356.00       50.4343    -85.4847573860    -85.4667227627    0.490747
   90    360.00      -49.9976    -85.4801585219    -85.4652665561    0.405231
   91    364.00      -51.9101    -85.4722661000    -85.4625757970    0.263687
   92    368.00      -57.6659    -85.4580192325    -85.4495035267    0.231724
   93    372.00      -49.7884    -85.4656229864    -85.4547577611    0.295658
   94    376.00       51.7003    -85.4704156966    -85.4576362591    0.347746
   95    380.00      -54.5653    -85.4729180659    -85.4607348859    0.331521
