# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -49.2038    -85.4685718683    -85.4601281777    0.229765
    1      4.00      -57.0041    -85.4751407639    -85.4672815760    0.213859
    2      8.00      -50.9012    -85.4736979490    -85.4653498824    0.227162
    3     12.00      -51.2151    -85.4612880052    -85.4514861386    0.266722
    4     16.00       54.5336    -85.4610086194    -85.4503291004    0.290605
    5     20.00       54.1113    -85.4761036588    -85.4651697062    0.297528
    6     24.00      -56.8287    -85.4731466034    -85.4626454436    0.285751
    7     28.00      -62.8527    -85.4656909251    -85.4574377560    0.224580
    8     32.00      -59.1359    -85.4607313200    -85.4539322985    0.185011
    9     36.00       62.6947    -85.4706371436    -85.4638595024    0.184429
   10     40.00      -59.4951    -85.4778005837    -85.4699351542    0.214029
   11     44.00       59.7030    -85.4664505549    -85.4559497753    0.285741
   12     48.00      -58.5592    -85.4709359690    -85.4604432886    0.285520
   13     52.00       59.6210    -85.4774743331    -85.4700070292    0.203196
   14     56.00       59.5573    -85.4577761959    -85.4521370558    0.153449
   15     60.00       57.8954    -85.4634548146    -85.4572208046    0.169636
   16     64.00      -54.2060    -85.4838845220    -85.4748437234    0.246013
   17     68.00       50.7121    -85.4824054979    -85.4706457058    0.320000
   18     72.00      -43.9538    -85.4754029188    -85.4648260487    0.287811
   19     76.00      -47.6360    -85.4677827494    -85.4589199209    0.241170
   20     80.00      -42.9473    -85.4753176932    -85.4678421627    0.203420
   21     84.00      -45.9204    -85.4762453663    -85.4674491409    0.239357
   22     88.00       43.6101    -85.4612867005    -85.4512193709    0.273946
   23     92.00      -45.9804    -85.4677154085    -85.4601257405    0.206525
   24     96.00      -50.2152    -85.4829701906    -85.4775858819    0.146515
   25    100.00       53.1098    -85.4705283030    -85.4644262355    0.166046
   26    104.00       53.9813    -85.4695687576    -85.4609000519    0.235887
   27    108.00      -47.8251    -85.4669002121    -85.4563716576    0.286497
   28    112.00      -45.0837    -85.4680841053    -85.4587563113    0.253822
   29    116.00       45.7399    -85.4707302305    -85.4650454221    0.154692
   30    120.00      -52.4285    -85.4615748799    -85.4568166618    0.129478
   31    124.00       52.6539    -85.4660940479    -85.4597231345    0.173361
   32    128.00      -51.4637    -85.4766895983    -85.4665794533    0.275111
   33    132.00      -49.8654    -85.4805135539    -85.4693962863    0.302516
   34    136.00      -50.0823    -85.4781400533    -85.4700699074    0.219600
   35    140.00       49.8775    -85.4779027394    -85.4723655989    0.150673
   36    144.00      -51.8744    -85.4752673349    -85.4697034484    0.151401
   37    148.00       50.3313    -85.4797019926    -85.4710149090    0.236388
   38    152.00       46.5787    -85.4800864799    -85.4679313469    0.330758
   39    156.00      -51.2148    -85.4764737482    -85.4653927342    0.301530
   40    160.00      -57.2018    -85.4758976389    -85.4679798110    0.215455
