# CDFTB-CI Sub Values
# Frame  Time(fs)      E_A(Ha)      E_B(Ha)        H_AB(Ha)        J_direct(meV)        V_A(Ha)        V_B(Ha)      N_A      N_B        S_AB        S_AB_alpha      S_AB_beta        W_BA        W_BA_alpha      W_BA_beta        W_AB        W_AB_alpha      W_AB_beta
    0      0.00  -85.5914557548  -85.6016301500   -2.2414081268      -55.7508    0.1585918238    0.1486316376   101.0   101.0    0.0261617963    0.9390788967    0.0278589972    2.6551123935    1.3343057888    1.3208066048    2.6562835206    1.3342121468    1.3220713738
    1      4.00  -85.5861942481  -85.5963343889   -2.1674409657      -54.7165    0.1606231743    0.1507588468   101.0   101.0    0.0252996633   -0.9376408417   -0.0269822540    2.5682316818    1.2903359444    1.2778957374    2.5681276056    1.2902441538    1.2778834518
    2      8.00  -85.5797302835  -85.5914786602   -1.8162561594      -46.9035    0.1646260415    0.1533004452   101.0   101.0    0.0212013749    0.9444597037    0.0224481519    2.1524630052    1.0813220719    1.0711409333    2.1518804008    1.0812322024    1.0706481985
    3     12.00  -85.5805091773  -85.5942437473    1.4875172861       38.6278    0.1666445714    0.1536318883   101.0   101.0   -0.0173635155   -0.9499249176    0.0182788294   -1.7624719605   -0.8855837226   -0.8768882378   -1.7626962921   -0.8855077433   -0.8771885488
    4     16.00  -85.5877968664  -85.6010557335   -1.4533489557      -37.1544    0.1646071191    0.1518274122   101.0   101.0    0.0169635293    0.9485262013    0.0178840914    1.7212821478    0.8651796613    0.8561024865    1.7226664692    0.8651126508    0.8575538184
    5     20.00  -85.5827644388  -85.5943810256    1.6829266428       42.4959    0.1621940634    0.1506377013   101.0   101.0   -0.0196447364   -0.9428314075    0.0208358952   -1.9930434272   -1.0019280536   -0.9911153736   -1.9952430768   -1.0018507692   -0.9933923076
    6     24.00  -85.5884896295  -85.5966995160    1.8703189750       47.2329    0.1600898673    0.1518403893   101.0   101.0   -0.0218311316   -0.9409802768    0.0232004136   -2.2156033760   -1.1134317260   -1.1021716501   -2.2165692994   -1.1133595679   -1.1032097315
    7     28.00  -85.5971870696  -85.6039130467    1.7464936304       44.3241    0.1596457709    0.1531721344   101.0   101.0   -0.0203838030   -0.9374291214    0.0217443672   -2.0698120392   -1.0396113857   -1.0302006536   -2.0685178775   -1.0395524941   -1.0289653834
    8     32.00  -85.5991376840  -85.6069574005    1.5793116564       40.2512    0.1606455427    0.1534385014   101.0   101.0   -0.0184319659   -0.9291071496    0.0198383641   -1.8717790409   -0.9400594915   -0.9317195495   -1.8702820341   -0.9400164247   -0.9302656094
    9     36.00  -85.5983093917  -85.6066951377    1.5601815761       39.6749    0.1608317033    0.1528879856   101.0   101.0   -0.0182088550   -0.9195264977    0.0198024255   -1.8484989259   -0.9286670493   -0.9198318766   -1.8482742547   -0.9286501763   -0.9196240784
   10     40.00  -85.6000569017  -85.6098291836    1.6972785468       43.0025    0.1614634468    0.1517739075   101.0   101.0   -0.0198084150   -0.9136511190    0.0216805021   -2.0100476201   -1.0102383487   -0.9998092714   -2.0114767892   -1.0102362575   -1.0012405317
   11     44.00  -85.5974001540  -85.6072884116   -1.7255976623      -43.8230    0.1621849870    0.1521815473   101.0   101.0    0.0201394858   -0.9141060563   -0.0220318919    2.0433536941    1.0271164565    1.0162372377    2.0453784224    1.0271271939    1.0182512286
   12     48.00  -85.5990874253  -85.6084457297    1.6839352532       43.0855    0.1625148334    0.1532902248   101.0   101.0   -0.0196527788    0.9134994333   -0.0215137285   -1.9947436873   -1.0022852306   -0.9924584566   -1.9951854688   -1.0023123323   -0.9928731365
   13     52.00  -85.5969878565  -85.6066815472   -1.7358979514      -44.2913    0.1616214078    0.1525388982   101.0   101.0    0.0202597325    0.9107523740    0.0222450505    2.0572845419    1.0332450986    1.0240394433    2.0558645126    1.0332629596    1.0226015530
   14     56.00  -85.5951360273  -85.6039728605   -1.9661990472      -49.3051    0.1586170193    0.1504641401   101.0   101.0    0.0229485671    0.9181262603    0.0249950013    2.3303277967    1.1703890120    1.1599387847    2.3286887602    1.1703812222    1.1583075381
   15     60.00  -85.5971258278  -85.6056824751    2.3113735891       57.4265    0.1574457482    0.1493687051   101.0   101.0   -0.0269769314    0.9308943946   -0.0289795830   -2.7383712420   -1.3758651914   -1.3625060507   -2.7384854000   -1.3758009963   -1.3626844037
   16     64.00  -85.5977110417  -85.6062575794   -2.3501502697      -58.9579    0.1591485283    0.1508072511   101.0   101.0    0.0274290792    0.9326603602    0.0294095046    2.7835204058    1.3989425354    1.3845778703    2.7851586242    1.3988440087    1.3863146154
   17     68.00  -85.5922375179  -85.5999277192   -2.1468583354      -55.1385    0.1618612905    0.1544773689   101.0   101.0    0.0250575957   -0.9287262024   -0.0269806060    2.5431334637    1.2779881530    1.2651453106    2.5441464581    1.2779065661    1.2662398920
   18     72.00  -85.5874537945  -85.5951858593    1.8995106843       49.6268    0.1640695907    0.1570372302   101.0   101.0   -0.0221714881   -0.9246539302    0.0239781473   -2.2506727142   -1.1307849477   -1.1198877665   -2.2506865100   -1.1307266719   -1.1199598382
   19     76.00  -85.5887778890  -85.5952019177   -1.9958889989      -51.5191    0.1615805375    0.1557132597   101.0   101.0    0.0232965224    0.9276402178    0.0251137477    2.3652517924    1.1881705410    1.1770812514    2.3644998257    1.1880969489    1.1764028769
   20     80.00  -85.5895670668  -85.5953185195   -2.2764680682      -57.0765    0.1572522007    0.1519298394   101.0   101.0    0.0265720953   -0.9350293842   -0.0284184601    2.6977579430    1.3552391325    1.3425188105    2.6969274222    1.3551377688    1.3417896534
   21     84.00  -85.5955817423  -85.6023983901   -2.3463340492      -58.3625    0.1568025970    0.1503704141   101.0   101.0    0.0273857117    0.9427477044    0.0290488236    2.7797556968    1.3967527789    1.3830029179    2.7800944836    1.3966152114    1.3834792722
   22     88.00  -85.6045017298  -85.6124399028    1.9739847921       49.6455    0.1591091422    0.1514647404   101.0   101.0   -0.0230369768    0.9466928522   -0.0243341615   -2.3383075242   -1.1749525966   -1.1633549276   -2.3386682995   -1.1748408350   -1.1638274645
   23     92.00  -85.5937696448  -85.6022768400    1.6227012282       41.5314    0.1618868030    0.1536312437   101.0   101.0   -0.0189393974   -0.9514419216    0.0199059942   -1.9227773374   -0.9659666182   -0.9568107191   -1.9223180708   -0.9658717950   -0.9564462757
   24     96.00  -85.5850123974  -85.5941368473    1.4991455596       38.7824    0.1638031171    0.1547322260   101.0   101.0   -0.0174988641    0.9540118221   -0.0183423975   -1.7765504865   -0.8924977035   -0.8840527830   -1.7761046292   -0.8924059770   -0.8836986521
