# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
    0      0.00      -55.7890    -85.6019757213    -85.5910029093    0.298585
    1      4.00      -54.7516    -85.5966696538    -85.5857571732    0.296944
    2      8.00      -46.9246    -85.5916912539    -85.5794445684    0.333249
    3     12.00       38.6394    -85.5943653756    -85.5803382375    0.381698
    4     16.00      -37.1651    -85.6011727271    -85.5876335355    0.368420
    5     20.00       42.5123    -85.5945578597    -85.5825262228    0.327398
    6     24.00       47.2555    -85.5970147314    -85.5880985899    0.242621
    7     28.00       44.3425    -85.6042544684    -85.5967792148    0.203412
    8     32.00       40.2649    -85.6072013828    -85.5988391539    0.227548
    9     36.00       39.6880    -85.6069156689    -85.5980357450    0.241635
   10     40.00       43.0194    -85.6100481743    -85.5997752795    0.279540
   11     44.00      -43.8408    -85.6075128001    -85.5971108713    0.283051
   12     48.00       43.1021    -85.6086762878    -85.5987946083    0.268894
   13     52.00      -44.3095    -85.6069157181    -85.5966877059    0.278318
   14     56.00      -49.3311    -85.6042897898    -85.5947358919    0.259975
   15     60.00       57.4683    -85.6061197665    -85.5965745900    0.259737
   16     64.00      -59.0023    -85.6067181735    -85.5971314989    0.260867
   17     68.00      -55.1731    -85.6003798179    -85.5916838069    0.236631
   18     72.00       49.6512    -85.5955552225    -85.5870035209    0.232704
   19     76.00      -51.5471    -85.5956755296    -85.5882160149    0.202984
   20     80.00      -57.1168    -85.5959481231    -85.5888259133    0.193805
   21     84.00      -58.4063    -85.6029602301    -85.5949023413    0.219266
   22     88.00       49.6718    -85.6127984466    -85.6040590823    0.237810
   23     92.00       41.5463    -85.6025143591    -85.5934742923    0.245993
   24     96.00       38.7943    -85.5943301343    -85.5847692154    0.260166
