# Normal mode statistics
# Reference: normal_mode/opt.gen
# Temperature: 300 K
#
#  Mode   Freq(cm-1)            Mean             Std        Variance
     94    1769.6620  6.49853788e-04  3.97016024e-02  1.57621723e-03
     95    2996.6728  8.01512118e-04  3.83778698e-02  1.47286089e-03
     96    2997.7513  3.33479052e-03  3.06747801e-02  9.40942131e-04
     97    2998.6036 -2.14516216e-03  3.22579327e-02  1.04057422e-03
     98    2999.3413 -2.81475769e-03  2.96308954e-02  8.77989959e-04
     99    3000.1524 -4.10738933e-02  4.11599459e-02  1.69414114e-03
    100    3000.2451 -5.40831562e-03  3.70279897e-02  1.37107202e-03
    101    3000.2852 -8.87933800e-03  4.06992901e-02  1.65643222e-03
    102    3000.9495 -9.56900228e-03  2.97762745e-02  8.86626523e-04
    103    3001.4996 -1.17193803e-03  1.99467397e-02  3.97872424e-04
    104    3001.8377  8.18205941e-03  3.60526854e-02  1.29979612e-03
    105    3011.0350  2.50823271e-04  2.24234522e-02  5.02811209e-04
    106    3011.0853 -1.06105542e-03  4.42944297e-02  1.96199650e-03
    107    3018.1227  3.58435228e-03  3.13995555e-02  9.85932084e-04
    108    3018.3003 -4.52083274e-02  3.76280720e-02  1.41587180e-03
