        8.0158910751         9.8018674850         5.8153333664    -0.0403
        6.9916100502         9.7463836670         6.8750519753    -0.1017
        9.1980590820         9.1590757370         6.0380096436    -0.0362
        7.8267107010        10.4815998077         4.6087374687    -0.1018
        7.1495780945         9.0485963821         8.0833797455    -0.0416
        6.0844058990        10.3391227722         6.7031879425     0.1378
        9.3358049393         8.4983339310         7.2381935120    -0.1011
       10.1671352386         9.2562360764         5.0170230865    -0.1018
        8.7956027985        10.5739021301         3.6241512299    -0.0362
        6.8763108253        11.0307655334         4.4782938957     0.1368
        6.1646356583         9.0150222778         9.0973091125    -0.1172
        8.3640794754         8.3988714218         8.2442264557    -0.0401
       10.2721862793         8.0003385544         7.4057025909     0.1377
       11.1061687469         8.7420787811         5.1624364853     0.1372
       10.0235404968         9.9166049957         3.7590689659    -0.0400
        8.6480989456        11.2755441666         2.4198753834    -0.1011
        6.3303928375         8.2702531815        10.2682743073    -0.1294
        5.2389554977         9.5652389526         8.9724063873     0.1358
        8.5239238739         7.6473951340         9.4516305923    -0.1174
       10.9675827026         9.9663343430         2.7022151947    -0.1019
        9.5054664612        11.2445535660         1.3276320696    -0.0402
        7.7591586113        11.8484191895         2.3311755657     0.1379
        7.5159173012         7.5504465103        10.4374122620    -0.1287
        5.5585403442         8.2932863235        11.0395355225     0.1357
        9.4452457428         7.1376409531         9.6494760513     0.1345
       11.8809309006         9.4141254425         2.8705630302     0.1380
       10.7372608185        10.5393877029         1.4529471397    -0.0414
        9.2262611389        11.8307867050         0.1017367244    -0.1174
        7.6519470215         6.9054026604        11.2924709320     0.1366
       11.6164512634        10.5049476624         0.3357043564    -0.1175
       10.1169624329        11.8026752472        -1.0014332533    -0.1285
        8.2996921539        12.3497333527         0.0108786719     0.1347
       11.2868270874        11.1076679230        -0.8965296149    -0.1296
       12.5301065445         9.9578075409         0.4247739613     0.1359
        9.8034839630        12.3085632324        -1.8934978247     0.1371
       12.0081033707        11.0024490356        -1.7171416283     0.1356
        9.6474256516         4.8232975006        17.6276054382    -0.0403
       10.5766162872         4.9101915359        16.5913467407    -0.1017
        8.4271793365         5.5126428604        17.4653091431    -0.0362
        9.8443460464         4.2212233543        18.9125823975    -0.1018
       10.4059400558         5.5843172073        15.3792095184    -0.0416
       11.5066909790         4.3537120819        16.7331790924     0.1378
        8.2731180191         6.1954088211        16.2371501923    -0.1011
        7.4891300201         5.4068779945        18.5358695984    -0.1018
        8.9322338104         4.1643080711        19.9750499725    -0.0362
       10.7706823349         3.6873273849        19.0104637146     0.1368
       11.4326658249         5.7565031052        14.3818836212    -0.1172
        9.2293949127         6.2467379570        15.1516094208    -0.0401
        7.3693408966         6.7554769516        16.1177806854     0.1377
        6.5565328598         5.9363789558        18.3501148224     0.1372
        7.7087073326         4.8000812531        19.7590808868    -0.0400
        9.1643810272         3.5581257343        21.1979026794    -0.1011
       11.2819766998         6.4387726784        13.1851758957    -0.1294
       12.4030790329         5.3500599861        14.5150089264     0.1358
        9.0345849991         6.9607410431        13.9260663986    -0.1174
        6.7878317833         4.7054467201        20.7855224609    -0.1019
        8.2642173767         3.4758930206        22.2645835876    -0.0402
       10.1010503769         3.0280706882        21.3536987305     0.1379
       10.0163650513         7.0731277466        12.9453372955    -0.1287
       12.0575389862         6.5583820343        12.4330577850     0.1357
        8.0927820206         7.5110416412        13.8069238663     0.1345
        5.8077592850         5.1392068863        20.7080440521     0.1380
        6.9992947578         4.1135768890        22.0640525818    -0.0414
        8.5094375610         2.8594944477        23.5454330444    -0.1174
        9.8416213989         7.6677222252        12.0524787903     0.1366
        6.0872812271         4.0786848068        23.1393508911    -0.1175
        7.5634880066         2.8937993050        24.5771560669    -0.1285
        9.4987754822         2.3910546303        23.6736583710     0.1347
        6.3713579178         3.5049631596        24.3703289032    -0.1296
        5.1530098915         4.6187400818        22.9556560516     0.1359
        7.8790388107         2.3740627766        25.4984111786     0.1371
        5.6193451881         3.5825357437        25.1222820282     0.1356
        8.4195175171         8.5426836014        33.5675430298    -0.0403
        7.3757810593         8.4459190369        34.4585609436    -0.1017
        9.6445798874         7.9813337326        33.9214439392    -0.0362
        8.3491668701         9.1825199127        32.2813034058    -0.1018
        7.4596128464         7.8943438530        35.7723350525    -0.0416
        6.4398903847         8.8846006393        34.1701774597     0.1378
        9.7025527954         7.3511667252        35.1809425354    -0.1011
       10.7065525055         8.0935907364        32.9871520996    -0.1018
        9.4127731323         9.2102184296        31.3313713074    -0.0362
