# call_index  Electronic(H)         Repulsive(H)          Total(H)
       0        -86.4919825773          0.7820107521        -85.7099718253
       1        -86.4782382181          0.7752236444        -85.7030145737
       2        -86.4700690445          0.7735734223        -85.6964956222
       3        -86.4688547631          0.7748449385        -85.6940098246
       4        -86.4748884526          0.7807907908        -85.6940976618
       5        -86.4863638866          0.7932143713        -85.6931495153
       6        -86.4992854348          0.8093516126        -85.6899338222
       7        -86.5080362173          0.8201523209        -85.6878838963
       8        -86.5082114204          0.8173582376        -85.6908531828
       9        -86.5000077498          0.8034635277        -85.6965442221
      10        -86.4876689030          0.7887816075        -85.6988872956
      11        -86.4764052918          0.7812461612        -85.6951591306
      12        -86.4700414198          0.7810517444        -85.6889896755
      13        -86.4701709798          0.7838057663        -85.6863652135
      14        -86.4771657465          0.7884843159        -85.6886814306
      15        -86.4898706494          0.7977629954        -85.6921076540
      16        -86.5049410073          0.8126522371        -85.6922887701
      17        -86.5171451401          0.8280047046        -85.6891404354
      18        -86.5205150635          0.8329067494        -85.6876083141
      19        -86.5116503095          0.8200980250        -85.6915522845
      20        -86.4924684768          0.7947062096        -85.6977622673
      21        -86.4687114388          0.7688246426        -85.6998867961
      22        -86.4466516636          0.7506565423        -85.6959951213
      23        -86.4308560447          0.7401466739        -85.6907093708
      24        -86.4238576619          0.7340459768        -85.6898116851
      25        -86.4270932074          0.7337038581        -85.6933893493
      26        -86.4399237835          0.7429173153        -85.6970064681
      27        -86.4590179291          0.7624032541        -85.6966146750
      28        -86.4787731304          0.7859541839        -85.6928189465
      29        -86.4926679120          0.8017276671        -85.6909402449
      30        -86.4968104024          0.8024745165        -85.6943358860
      31        -86.4922461616          0.7926676888        -85.6995784727
      32        -86.4831522214          0.7817953442        -85.7013568772
      33        -86.4741288504          0.7752370283        -85.6988918222
      34        -86.4684864702          0.7717173753        -85.6967690949
      35        -86.4684960160          0.7693882023        -85.6991078137
      36        -86.4756313414          0.7710544248        -85.7045769166
      37        -86.4889813059          0.7800078678        -85.7089734382
      38        -86.5051547917          0.7962219514        -85.7089328403
      39        -86.5187719686          0.8131522418        -85.7056197268
      40        -86.5243743026          0.8204028157        -85.7039714869
      41        -86.5197838125          0.8133983510        -85.7063854615
      42        -86.5074731990          0.7979061299        -85.7095670692
      43        -86.4922562940          0.7827216941        -85.7095345999
      44        -86.4790416934          0.7728130023        -85.7062286911
      45        -86.4715461157          0.7685037447        -85.7030423710
      46        -86.4723506016          0.7700077767        -85.7023428249
      47        -86.4824340110          0.7790461593        -85.7033878516
      48        -86.5001186230          0.7961027513        -85.7040158717
      49        -86.5214261334          0.8188408827        -85.7025852507
      50        -86.5405680090          0.8399593488        -85.7006086601
      51        -86.5517523761          0.8499485027        -85.7018038734
      52        -86.5525807678          0.8462442881        -85.7063364797
      53        -86.5448284178          0.8347400566        -85.7100883612
      54        -86.5322129084          0.8223495505        -85.7098633580
      55        -86.5186185796          0.8120451157        -85.7065734639
      56        -86.5071190288          0.8034363981        -85.7036826307
      57        -86.5002158901          0.7972736412        -85.7029422488
      58        -86.4990468833          0.7956746664        -85.7033722169
      59        -86.5026187786          0.8001354202        -85.7024833585
      60        -86.5079497858          0.8092546329        -85.6986951530
      61        -86.5103028287          0.8160963496        -85.6942064790
      62        -86.5052777054          0.8119782608        -85.6932994446
      63        -86.4919677917          0.7958025437        -85.6961652480
      64        -86.4732143099          0.7739418399        -85.6992724700
      65        -86.4534518986          0.7533436332        -85.7001082654
      66        -86.4371518207          0.7377080083        -85.6994438124
      67        -86.4277785358          0.7281146919        -85.6996638439
      68        -86.4275356686          0.7259260820        -85.7016095866
      69        -86.4364410910          0.7322008650        -85.7042402261
      70        -86.4523573129          0.7472750372        -85.7050822757
      71        -86.4711210568          0.7683769088        -85.7027441480
      72        -86.4868889967          0.7874001944        -85.6994888023
      73        -86.4945460102          0.7959256293        -85.6986203809
      74        -86.4925772682          0.7928386006        -85.6997386675
      75        -86.4830469877          0.7832026648        -85.6998443229
      76        -86.4699669157          0.7725244187        -85.6974424970
      77        -86.4576408609          0.7634621123        -85.6941787486
      78        -86.4497217248          0.7570706116        -85.6926511131
      79        -86.4487606362          0.7551616839        -85.6935989523
      80        -86.4552779247          0.7597320014        -85.6955459234
      81        -86.4677926264          0.7722185311        -85.6955740953
      82        -86.4827650678          0.7901355317        -85.6926295361
      83        -86.4949255238          0.8049906224        -85.6899349014
      84        -86.4999716741          0.8089061607        -85.6910655134
      85        -86.4972961042          0.8024628117        -85.6948332925
      86        -86.4894715426          0.7918480467        -85.6976234959
      87        -86.4807199774          0.7831194521        -85.6976005253
      88        -86.4752770706          0.7788443271        -85.6964327434
      89        -86.4763326856          0.7792397144        -85.6970929711
      90        -86.4853225832          0.7844574215        -85.7008651618
      91        -86.5014507748          0.7954017068        -85.7060490680
      92        -86.5221833556          0.8138324229        -85.7083509326
      93        -86.5430093693          0.8371373966        -85.7058719728
      94        -86.5581113721          0.8564167133        -85.7016946588
      95        -86.5631406509          0.8631487588        -85.6999918921
      96        -86.5573665462          0.8562358832        -85.7011306630
      97        -86.5433549147          0.8411670989        -85.7021878159
      98        -86.5254956678          0.8248622614        -85.7006334064
      99        -86.5080492717          0.8109696957        -85.6970795760
