# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.5878626475      -85.6024604833
    1         4.000      -85.5932855575      -85.6070277720
    2         8.000      -85.5929538788      -85.6050286145
    3        12.000      -85.5819812381      -85.5937163229
    4        16.000      -85.5823915667      -85.5931249151
    5        20.000      -85.5968583401      -85.6066638937
    6        24.000      -85.5918774791      -85.6019901165
    7        28.000      -85.5839096067      -85.5937389605
    8        32.000      -85.5809397179      -85.5910462095
    9        36.000      -85.5947890034      -85.6022701412
   10        40.000      -85.6037921787      -85.6088040267
   11        44.000      -85.5906337537      -85.5969154725
   12        48.000      -85.5926790971      -85.6013141031
   13        52.000      -85.5998455151      -85.6097383059
   14        56.000      -85.5820402283      -85.5920545302
   15        60.000      -85.5878843984      -85.5962221968
   16        64.000      -85.6059469620      -85.6134758970
   17        68.000      -85.6002830342      -85.6109823748
   18        72.000      -85.5914752578      -85.6061646018
   19        76.000      -85.5839007641      -85.6019745549
   20        80.000      -85.5936069128      -85.6096990867
   21        84.000      -85.5963579574      -85.6090123887
   22        88.000      -85.5824866030      -85.5939178717
   23        92.000      -85.5910129326      -85.6015746659
   24        96.000      -85.6067663606      -85.6168378376
