# Mulliken charges from constrained DFT calculations
# Qn|calcm = charge on fragment n when constraint applied to fragment m
# Frame      Time[fs]      Q1|calc1      Q2|calc1      Q1|calc2      Q2|calc2
    0         0.000     +1.000013     -1.000013     -1.000066     +1.000066
    1         4.000     +0.999973     -0.999973     -0.999960     +0.999960
    2         8.000     +0.999962     -0.999962     -0.999924     +0.999924
    3        12.000     +0.999945     -0.999945     -0.999924     +0.999924
    4        16.000     +0.999978     -0.999978     -1.000007     +1.000007
    5        20.000     +1.000011     -1.000011     -0.999932     +0.999932
    6        24.000     +0.999982     -0.999982     -0.999951     +0.999951
    7        28.000     +0.999924     -0.999924     -0.999941     +0.999941
    8        32.000     +1.000043     -1.000043     -1.000065     +1.000065
    9        36.000     +0.999992     -0.999992     -0.999966     +0.999966
   10        40.000     +0.999986     -0.999986     -0.999925     +0.999925
   11        44.000     +1.000050     -1.000050     -0.999927     +0.999927
   12        48.000     +0.999968     -0.999968     -0.999905     +0.999905
   13        52.000     +0.999933     -0.999933     -1.000068     +1.000068
   14        56.000     +1.000060     -1.000060     -0.999962     +0.999962
   15        60.000     +1.000080     -1.000080     -0.999957     +0.999957
   16        64.000     +1.000009     -1.000009     -1.000024     +1.000024
   17        68.000     +0.999919     -0.999919     -1.000021     +1.000021
   18        72.000     +1.000043     -1.000043     -1.000033     +1.000033
   19        76.000     +1.000054     -1.000054     -0.999998     +0.999998
   20        80.000     +0.999940     -0.999940     -1.000012     +1.000012
   21        84.000     +0.999960     -0.999960     -0.999975     +0.999975
   22        88.000     +1.000058     -1.000058     -1.000004     +1.000004
   23        92.000     +1.000088     -1.000088     -1.000013     +1.000013
   24        96.000     +1.000037     -1.000037     -1.000010     +1.000010
