# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
    87   +1.012274754346e-01  +7.4519366120e-03    +1635.5110     vibration
    88   +1.049900935076e-01  +7.5891670129e-03    +1665.6296     vibration
    89   +1.050295166697e-01  +7.5905917229e-03    +1665.9423     vibration
    90   +1.080905344067e-01  +7.7004087902e-03    +1690.0444     vibration
    91   +1.115188586364e-01  +7.8215730726e-03    +1716.6369     vibration
    92   +1.145521773052e-01  +7.9272329983e-03    +1739.8265     vibration
    93   +1.181310509342e-01  +8.0501131159e-03    +1766.7956     vibration
    94   +1.185146687751e-01  +8.0631734584e-03    +1769.6620     vibration
    95   +3.398365630371e-01  +1.3653846009e-02    +2996.6728     vibration
    96   +3.400812217759e-01  +1.3658760036e-02    +2997.7513     vibration
    97   +3.402746257261e-01  +1.3662643347e-02    +2998.6036     vibration
    98   +3.404420611598e-01  +1.3666004352e-02    +2999.3413     vibration
    99   +3.406262308280e-01  +1.3669700316e-02    +3000.1524     vibration
   100   +3.406472814484e-01  +1.3670122702e-02    +3000.2451     vibration
   101   +3.406563794320e-01  +1.3670305251e-02    +3000.2852     vibration
   102   +3.408072556812e-01  +1.3673332196e-02    +3000.9495     vibration
   103   +3.409322104167e-01  +1.3675838584e-02    +3001.4996     vibration
   104   +3.410090224848e-01  +1.3677379082e-02    +3001.8377     vibration
   105   +3.431018537976e-01  +1.3719285104e-02    +3011.0350     vibration
   106   +3.431133056938e-01  +1.3719514060e-02    +3011.0853     vibration
   107   +3.447190131591e-01  +1.3751578996e-02    +3018.1227     vibration
   108   +3.447595785740e-01  +1.3752388093e-02    +3018.3003     vibration
