# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
    87   +9.907658912939e-02  +7.3723419790e-03    +1618.0420     vibration
    88   +9.981362446015e-02  +7.3997127667e-03    +1624.0492     vibration
    89   +1.034127313398e-01  +7.5319417652e-03    +1653.0701     vibration
    90   +1.035966757653e-01  +7.5386374744e-03    +1654.5397     vibration
    91   +1.042529970409e-01  +7.5624797280e-03    +1659.7725     vibration
    92   +1.099557146908e-01  +7.7665626867e-03    +1704.5635     vibration
    93   +1.126419462837e-01  +7.8608592819e-03    +1725.2592     vibration
    94   +1.141207466626e-01  +7.9122909973e-03    +1736.5471     vibration
    95   +3.438578229804e-01  +1.3734390895e-02    +3014.3504     vibration
    96   +3.443262407352e-01  +1.3743742497e-02    +3016.4028     vibration
    97   +3.448390022888e-01  +1.3753972100e-02    +3018.6480     vibration
    98   +3.452531636869e-01  +1.3762229076e-02    +3020.4602     vibration
    99   +3.454488525634e-01  +1.3766128727e-02    +3021.3160     vibration
   100   +3.456052656630e-01  +1.3769244903e-02    +3021.9999     vibration
   101   +3.456334401157e-01  +1.3769806141e-02    +3022.1231     vibration
   102   +3.458439686836e-01  +1.3773999161e-02    +3023.0434     vibration
   103   +3.460397856884e-01  +1.3777898031e-02    +3023.8991     vibration
   104   +3.465799946391e-01  +1.3788648300e-02    +3026.2585     vibration
   105   +3.476211061910e-01  +1.3809343026e-02    +3030.8005     vibration
   106   +3.476899653142e-01  +1.3810710682e-02    +3031.1006     vibration
   107   +3.481084944078e-01  +1.3819020450e-02    +3032.9244     vibration
   108   +3.482955782893e-01  +1.3822733328e-02    +3033.7393     vibration
