600004,600.0039999927237,-21029.609307875995,57275.28298897087,299.1351226012164
600008,600.0079999927236,-21056.566858443402,57299.74407170317,299.26287699369135
600012,600.0119999927235,-20723.083118595445,56972.750986620646,297.55507021402434
600016,600.0159999927234,-21056.53847799266,57302.02956707384,299.2748135901119
600020,600.0199999927233,-21382.383492506102,57626.586010039595,300.96989437000553
600024,600.0239999927232,-21209.887498509852,57453.984295399074,300.0684368411075
600028,600.0279999927232,-20643.367159913607,56891.97729127061,297.13320849635915
600032,600.0319999927231,-20563.84039283797,56810.78882168054,296.70918051190887
600036,600.035999992723,-20709.167990601258,56952.71766272608,297.4504409483694
600040,600.0399999927229,-20479.888379930824,56727.95750096191,296.2765723084163
600044,600.0439999927228,-20558.885672699253,56803.735864790695,296.67234460270265
600048,600.0479999927227,-20671.9412096452,56920.066346520514,297.2799109227365
600052,600.0519999927226,-21120.351509250926,57362.4094020718,299.59016304632024
600056,600.0559999927225,-20898.721184803653,57145.119722311385,298.45531094951565
600060,600.0599999927224,-20762.011233756442,57010.09128886184,297.7500896937367
600064,600.0639999927223,-20990.218025263835,57233.61463280698,298.9174987296403
600068,600.0679999927222,-20880.804014278518,57128.904793873364,298.37062425129
600072,600.0719999927221,-21066.95765132764,57308.53567800906,299.30879345351366
600076,600.075999992722,-20702.536706887826,56951.504199961164,297.44410332218916
600080,600.0799999927219,-21050.594869325723,57295.18394177495,299.2390605242831
600084,600.0839999927218,-21441.390941788144,57682.619197069966,301.262542322095
600088,600.0879999927217,-21121.863029552333,57366.6175667047,299.6121412850595
600092,600.0919999927216,-20776.758925472495,57021.28215142054,297.80853689589463
600096,600.0959999927215,-20566.60845104281,56814.84781491623,296.73037966407077
600100,600.0999999927215,-20939.018461046377,57180.098190953635,298.63799513647496
600104,600.1039999927214,-20802.228034809385,57049.37746003015,297.95527198207606
600108,600.1079999927213,-20917.93910830283,57160.36691678377,298.5349434043863
600112,600.1119999927212,-20693.13317421505,56937.000593959834,297.36835445229354
600116,600.1159999927211,-20412.279035156265,56659.62089917827,295.9196665597946
600120,600.119999992721,-20580.041349521496,56823.9418060202,296.77787540746755
600124,600.1239999927209,-20795.818213537656,57044.42047185918,297.92938281685724
600128,600.1279999927208,-21401.092111083693,57638.4446955025,301.0318294516797
600132,600.1319999927207,-20628.306437372696,56875.79164122578,297.04867471218785
600136,600.1359999927206,-20166.053633680523,56414.72349011667,294.64062588707594
600140,600.1399999927205,-20604.537700928166,56849.469172278565,296.9111987441126
600144,600.1439999927204,-21101.023219072755,57343.69187725721,299.49240588497577
600148,600.1479999927203,-21010.61340586173,57252.0728365717,299.0139015190813
600152,600.1519999927202,-20450.80125128005,56702.19036771358,296.141996726052
600156,600.1559999927201,-20959.839798076137,57199.91844466925,298.74151158747793
600160,600.15999999272,-20869.20447090127,57115.04208787808,298.29822264904413
600164,600.1639999927199,-20936.929192601063,57181.22752123322,298.6438933587798
600168,600.1679999927198,-21026.952644187804,57267.57158016742,299.0948477549395
600172,600.1719999927197,-20602.446109245095,56850.47275984935,296.91644024228356
