# call_index  time[fs]  energy[a.u.]
       0        96.000  -85.7099718253
       4       100.000  -85.6940976618
       8       104.000  -85.6908531828
      12       108.000  -85.6889896755
      16       112.000  -85.6922887701
      20       116.000  -85.6977622673
      24       120.000  -85.6898116851
      28       124.000  -85.6928189465
      32       128.000  -85.7013568772
      36       132.000  -85.7045769166
      40       136.000  -85.7039714869
      44       140.000  -85.7062286911
      48       144.000  -85.7040158717
      52       148.000  -85.7063364797
      56       152.000  -85.7036826307
      60       156.000  -85.6986951530
      64       160.000  -85.6992724700
      68       164.000  -85.7016095866
      72       168.000  -85.6994888023
      76       172.000  -85.6974424970
      80       176.000  -85.6955459234
      84       180.000  -85.6910655134
      88       184.000  -85.6964327434
      92       188.000  -85.7083509326
      96       192.000  -85.7011306630
