# Duschinsky Rotation Analysis
#
# Total reorganization energy (parallel mode): 3434454.1053 meV
# Total reorganization energy (cation modes):  1.6217 meV
#
# Mode comparison:
# Mode  Freq_N(cm-1)  Freq_C(cm-1)  D_N        D_C        lambda_N(meV)  lambda_C(meV)  S_N       S_C       Max_J
   71       1689.00       1257.20    -70.0338    -0.0485     3952.0954         0.0010    18.8726    0.0000    0.254
   72       1713.58       1259.84    -36.7189     0.0291     1118.2502         0.0004     5.2634    0.0000    0.293
   73       1777.03       1347.75     33.7794    -0.0141     1017.7576         0.0001     4.6194    0.0000    0.297
   74       1817.96       1362.32    -95.3984     0.0075     8495.7787         0.0000    37.6923    0.0000    0.324
   75       1851.71       1368.63     -5.5986     0.0487       30.3567         0.0013     0.1322    0.0000    0.416
   76       1864.46       1395.67   -143.8545    -0.0367    20319.2093         0.0007    87.8995    0.0000    0.288
   77       1895.85       1440.72     -3.3237     0.0416       11.2151         0.0010     0.0477    0.0000    0.434
   78       1963.86       1444.97     54.0101    -0.0165     3177.7777         0.0002    13.0511    0.0000    0.284
   79       2081.49       1471.98    -93.1428     0.0509    10616.9018         0.0016    41.1394    0.0000    0.292
   80       2091.87       1494.05    -33.6554    -0.0927     1400.0063         0.0054     5.3980    0.0000    0.419
   81       2232.18       1501.83      9.2146     0.1169      119.4994         0.0087     0.4318    0.0000    0.472
   82       2387.25       1504.87      5.2878    -0.2383       45.0085         0.0363     0.1521    0.0002    0.380
   83       2419.08       1523.59     98.2587    -0.0206    15958.6248         0.0003    53.2082    0.0000    0.374
   84       2513.42       1541.88     64.3563    -0.0595     7390.3342         0.0024    23.7155    0.0000    0.376
   85       2946.28       1543.03    -29.8013    -0.0849     2177.5707         0.0048     5.9612    0.0000    0.368
   86       3055.90       1591.93     14.1530    -0.0783      528.3562         0.0044     1.3945    0.0000    0.359
   87       3099.65       1618.04    -71.3751    -0.1135    13825.1822         0.0095    35.9742    0.0000    0.406
   88       3152.31       1624.05    109.5653    -0.0505    33694.1902         0.0019    86.2105    0.0000    0.511
   89       3361.86       1653.07      7.5567     0.0391      182.2935         0.0012     0.4373    0.0000    0.345
   90       3500.03       1654.54    -48.3865    -0.1479     8101.0894         0.0169    18.6683    0.0001    0.374
   91       3523.62       1659.77    134.6764    -0.0433    63608.3140         0.0015   145.5989    0.0000    0.379
