# DFTB+ Mass-weighted Hessian eigenvalues and frequencies
# Matrix size: 108 x 108, Number of atoms: 36
# Atom types: C C C C C H C C C H C C H H C C C H C C C H C H H H C C H C C H C H H H
# Index    Eigenvalue           Freq(Hartree)      Freq(cm^-1)    Type
#--------------------------------------------------------------------------------
    87   +1.000963602023e-01  +7.4101857047e-03    +1626.3478     vibration
    88   +1.001269840993e-01  +7.4113191695e-03    +1626.5965     vibration
    89   +1.039578194021e-01  +7.5517660924e-03    +1657.4211     vibration
    90   +1.041293739665e-01  +7.5579946085e-03    +1658.7881     vibration
    91   +1.045147885556e-01  +7.5719689118e-03    +1661.8551     vibration
    92   +1.107652137503e-01  +7.7950991582e-03    +1710.8265     vibration
    93   +1.128729517322e-01  +7.8689156557e-03    +1727.0274     vibration
    94   +1.145939379540e-01  +7.9286778256e-03    +1740.1436     vibration
    95   +3.427927114021e-01  +1.3713103020e-02    +3009.6782     vibration
    96   +3.431969367188e-01  +1.3721185967e-02    +3011.4522     vibration
    97   +3.432421192477e-01  +1.3722089147e-02    +3011.6505     vibration
    98   +3.435341630515e-01  +1.3727925551e-02    +3012.9314     vibration
    99   +3.435877178382e-01  +1.3728995557e-02    +3013.1662     vibration
   100   +3.438614115748e-01  +1.3734462563e-02    +3014.3661     vibration
   101   +3.443878280897e-01  +1.3744971568e-02    +3016.6726     vibration
   102   +3.443928738198e-01  +1.3745072259e-02    +3016.6947     vibration
   103   +3.448039592094e-01  +1.3753273232e-02    +3018.4946     vibration
   104   +3.448126654406e-01  +1.3753446864e-02    +3018.5327     vibration
   105   +3.469633335912e-01  +1.3796271742e-02    +3027.9317     vibration
   106   +3.469646225959e-01  +1.3796297370e-02    +3027.9373     vibration
   107   +3.484097280460e-01  +1.3824998261e-02    +3034.2364     vibration
   108   +3.484175438259e-01  +1.3825153327e-02    +3034.2704     vibration
