# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.4618044116      -85.4534030598
    1         4.000      -85.4768043808      -85.4682784605
    2         8.000      -85.4899543496      -85.4811891967
    3        12.000      -85.4975913464      -85.4884713920
    4        16.000      -85.5006480878      -85.4911047751
    5        20.000      -85.5024922714      -85.4925409799
    6        24.000      -85.5052479231      -85.4949870922
    7        28.000      -85.5078016206      -85.4973925929
    8        32.000      -85.5071270675      -85.4967649639
    9        36.000      -85.5015019296      -85.4913998068
