# Frame  Time[fs]  Energy_fragment1[a.u.]  Energy_fragment2[a.u.]
    0         0.000      -85.4618044965      -85.4534029204
    1         4.000      -85.4768044466      -85.4682783345
    2         8.000      -85.4899544061      -85.4811890464
    3        12.000      -85.4975914005      -85.4884712466
    4        16.000      -85.5006481337      -85.4911046794
    5        20.000      -85.5024923166      -85.4925408794
    6        24.000      -85.5052479670      -85.4949869950
    7        28.000      -85.5078016968      -85.4973924968
    8        32.000      -85.5071271460      -85.4967648695
    9        36.000      -85.5015020427      -85.4913996510
