# CDFTB-CI Results
# Frame  Time(fs)   J_lowdin(meV)        E1(Ha)        E2(Ha)        dE(eV)
   93    372.00       78.4958    -85.6129907729    -85.5959547964    0.463573
   94    376.00       73.2942    -85.6059408213    -85.5881541396    0.484000
   95    380.00      -76.0206    -85.5967856064    -85.5796644160    0.465891
   96    384.00      -73.8695    -85.6073561118    -85.5912283834    0.438858
   97    388.00      -74.4184    -85.6057257068    -85.5916291033    0.383588
   98    392.00       73.6379    -85.6016154469    -85.5880620153    0.368808
   99    396.00      -70.0052    -85.6036255800    -85.5898245664    0.375545
  100    400.00      -65.0654    -85.5981992370    -85.5855730676    0.343576
  101    404.00       66.0074    -85.6010327373    -85.5895207536    0.313257
  102    408.00      -70.9620    -85.6012659937    -85.5911578900    0.275056
  103    412.00      -70.1915    -85.6028487749    -85.5932825903    0.260309
  104    416.00      -63.3277    -85.6158935153    -85.6053772480    0.286162
  105    420.00      -58.9888    -85.6081395204    -85.5971748407    0.298364
  106    424.00       54.6568    -85.5976455462    -85.5852986442    0.335976
  107    428.00      -55.1030    -85.6155227423    -85.6016831929    0.376593
  108    432.00      -63.6091    -85.6207402571    -85.6058553685    0.405038
  109    436.00       65.4246    -85.6115734976    -85.5964370783    0.411883
  110    440.00       59.6123    -85.6097089104    -85.5965677235    0.357590
  111    444.00      -54.2117    -85.5989960728    -85.5875192762    0.312300
  112    448.00      -53.1834    -85.5941700251    -85.5804029631    0.374621
  113    452.00       51.8888    -85.6001721859    -85.5849205895    0.415017
  114    456.00       49.2159    -85.6000248964    -85.5836332742    0.446039
  115    460.00       41.1638    -85.5943986710    -85.5779590940    0.447344
  116    464.00      -43.2837    -85.5951054313    -85.5802791298    0.403444
  117    468.00       49.4232    -85.6089322208    -85.5943994698    0.395456
  118    472.00       58.8017    -85.6031347325    -85.5914723478    0.317350
  119    476.00      -57.1846    -85.5978104605    -85.5886353358    0.249668
  120    480.00       50.0403    -85.5988461126    -85.5897776491    0.246765
  121    484.00      -47.4785    -85.5946197037    -85.5851880167    0.256649
  122    488.00      -49.8851    -85.6111194476    -85.6009223256    0.277478
  123    492.00       47.8929    -85.6071714447    -85.5973566241    0.267075
  124    496.00      -45.1570    -85.6082667936    -85.6006104520    0.208340
  125    500.00      -43.4275    -85.6148795035    -85.6083392222    0.177970
  126    504.00      -48.0912    -85.5939651423    -85.5884012502    0.151401
  127    508.00       59.9947    -85.6025919432    -85.5966926019    0.160529
  128    512.00      -72.9217    -85.6034888763    -85.5954176554    0.219629
  129    516.00      -77.0325    -85.5958255322    -85.5884105052    0.201773
  130    520.00       71.4190    -85.5812186683    -85.5750513435    0.167821
  131    524.00       76.1672    -85.5771180469    -85.5710739932    0.164467
  132    528.00      -80.0406    -85.6033755293    -85.5973280899    0.164559
  133    532.00      -78.1885    -85.5986549847    -85.5917840112    0.186969
  134    536.00       68.1537    -85.5971399769    -85.5903553339    0.184620
  135    540.00      -60.4247    -85.5963036617    -85.5899679941    0.172402
  136    544.00      -59.4891    -85.5976844565    -85.5901211405    0.205808
  137    548.00      -63.7125    -85.6148709395    -85.6080414986    0.185839
  138    552.00       69.3246    -85.6147116322    -85.6074282560    0.198191
  139    556.00      -67.4519    -85.6189652702    -85.6114918815    0.203361
  140    560.00      -61.4982    -85.6095700313    -85.6023262108    0.197114
  141    564.00       60.0271    -85.5934591599    -85.5834869036    0.271359
  142    568.00       57.8560    -85.6127348975    -85.5995378736    0.359109
  143    572.00       54.8551    -85.6139908625    -85.5970908345    0.459873
  144    576.00      -45.9996    -85.6151439297    -85.5944370076    0.563464
  145    580.00       39.2593    -85.6091519072    -85.5899242248    0.523212
  146    584.00       40.6108    -85.5962366213    -85.5814077533    0.403514
  147    588.00      -43.2192    -85.5930818690    -85.5814510876    0.316490
  148    592.00      -45.9259    -85.5946193712    -85.5857931506    0.240174
  149    596.00       42.3197    -85.5940169717    -85.5833131578    0.291266
  150    600.00      -40.4232    -85.5963882329    -85.5837969745    0.342626
  151    604.00       39.4531    -85.6017098619    -85.5889456267    0.347333
  152    608.00      -33.2987    -85.6131401356    -85.6002985290    0.349438
  153    612.00      -22.0425    -85.6248250220    -85.6134904371    0.308430
  154    616.00       14.8298    -85.6061676006    -85.5950255031    0.303192
  155    620.00      -11.7752    -85.5950906381    -85.5831156338    0.325856
  156    624.00       -8.7147    -85.6039631084    -85.5948343001    0.248408
  157    628.00        2.5740    -85.6047564238    -85.5975100323    0.197184
  158    632.00        0.7565    -85.6074306205    -85.6006623641    0.184174
  159    636.00        6.4811    -85.6049163901    -85.5973635089    0.205524
  160    640.00      -15.7417    -85.6042288340    -85.5953112511    0.242660
  161    644.00       22.8140    -85.5964491661    -85.5893944133    0.191970
  162    648.00      -26.3475    -85.5905164029    -85.5853084466    0.141716
  163    652.00       31.2467    -85.5981868801    -85.5922990874    0.160215
  164    656.00      -37.2018    -85.5954846066    -85.5901526742    0.145089
  165    660.00      -39.1313    -85.6033705767    -85.5971651822    0.168857
  166    664.00      -33.2638    -85.5943401380    -85.5890365922    0.144317
  167    668.00       31.9571    -85.5886772352    -85.5861179069    0.069643
