# call_index  iSCC  SCC_error(a.u.)
       0    12  6.780341000000e-06
       1    12  6.164535400000e-06
       2    12  5.592442500000e-06
       3    12  4.635165000000e-06
       4    11  9.536275300000e-06
       5    12  4.199296700000e-06
       6    12  5.394454200000e-06
       7    12  7.467596600000e-06
       8    12  9.212142100000e-06
       9    13  3.350449100000e-06
